participant,n_sessions,acc_mean,acc_std,acc_healthy,acc_impaired,f1_mean,f1_rest_mean,f1_close_mean,f1_open_mean
HS_01,1,0.8333333333333334,,0.8333333333333334,,0.5555555555555555,0.8666666666666666,0.8,0.0
HS_02,1,1.0,,1.0,,1.0,1.0,1.0,0.0
HS_03,1,0.78,,0.78,,0.43820224719101125,0.8764044943820225,0.0,0.0
HS_04,1,0.8703703703703703,,0.8703703703703703,,0.6888888888888888,1.0,0.5333333333333333,0.5333333333333333
HS_05,1,0.8717948717948718,,0.8717948717948718,,0.6013868962219034,0.951219512195122,0.0,0.8529411764705882
HS_06,1,0.7692307692307693,,0.7692307692307693,,0.553194360116036,0.9382716049382716,0.7213114754098361,0.0
HS_07,1,0.7142857142857143,,0.7142857142857143,,0.46349206349206346,0.8666666666666666,0.5238095238095238,0.0
HS_08,1,0.9782608695652174,,0.9782608695652174,,0.8962962962962964,1.0,0.888888888888889,0.8
HS_09,1,0.8974358974358975,,0.8974358974358975,,0.6011204481792717,0.9176470588235294,0.0,0.8857142857142858
HS_10,1,1.0,,1.0,,1.0,1.0,0.0,0.0
ST_01,2,0.8698630136986301,0.18404149099375897,0.7397260273972602,1.0,0.8540921523248475,0.902061855670103,0.30612244897959184,0.5
ST_02,2,0.806910569105691,0.03736743152611837,0.8333333333333334,0.7804878048780488,0.616185985246497,0.9080817652633004,0.19047619047619047,0.75
ST_03,2,0.8876271186440678,0.03907064587573128,0.86,0.9152542372881356,0.558974358974359,0.9743589743589743,0.4358974358974359,0.26666666666666666
ST_04,2,0.8765151515151515,0.01392786084155318,0.8666666666666667,0.8863636363636364,0.4670826161790017,0.9341652323580034,0.0,0.0
ST_05,2,0.875,0.1767766952966369,1.0,0.75,0.7142857142857143,0.9285714285714286,0.5,0.0
ST_06,2,0.7172157622739018,0.1696964917382445,0.8372093023255814,0.5972222222222222,0.4641451459740824,0.8201821838400567,0.10810810810810813,0.0
ST_07,2,0.792957042957043,0.1296244698778536,0.7012987012987013,0.8846153846153846,0.6727109632869762,0.8588021778584392,0.0,0.7178014766201806
ST_08,2,0.7884615384615384,0.2628986750565369,0.9743589743589743,0.6025641025641025,0.4432757816422881,0.9128613322161708,0.0,0.1702127659574468
ST_09,2,0.5674603174603174,0.09540329587437543,0.5,0.6349206349206349,0.3797359735973597,0.7194719471947195,0.039999999999999994,0.0
ST_10,2,0.8772893772893773,0.02849148202583164,0.8571428571428571,0.8974358974358975,0.7933791091610317,0.9100430416068866,0.0,0.6767151767151767
