n_transitions,n_correct,transition_acc,n_segments,raw_acc,participant,session,arm
2,1,0.5,3,0.9773462783171522,HS_01,healthy_01,healthy
2,2,1.0,3,1.0,HS_02,healthy_01,healthy
2,1,0.5,3,0.9818481848184818,HS_03,healthy_01,healthy
3,2,0.6666666666666666,4,0.9855072463768116,HS_04,healthy_01,healthy
2,1,0.5,3,0.9388646288209607,HS_05,healthy_01,healthy
2,1,0.5,3,0.9709342560553633,HS_06,healthy_01,healthy
2,1,0.5,3,0.9808568824065633,HS_07,healthy_01,healthy
4,4,1.0,5,0.9895209580838323,HS_08,healthy_01,healthy
2,1,0.5,3,0.9688149688149689,HS_09,healthy_01,healthy
2,1,0.5,3,0.9721407624633431,ST_01,healthy_01,healthy
2,2,1.0,3,1.0,ST_01,impaired_01,impaired
4,2,0.5,5,0.9320882852292021,ST_02,healthy_01,healthy
4,3,0.75,5,0.8294117647058824,ST_02,impaired_01,impaired
2,2,1.0,3,0.9883268482490273,ST_03,healthy_01,healthy
2,1,0.5,3,0.9726890756302521,ST_03,impaired_01,impaired
2,2,1.0,3,0.9695290858725761,ST_04,healthy_01,healthy
2,2,1.0,3,0.9861111111111112,ST_04,impaired_01,impaired
2,2,1.0,3,0.9975786924939467,ST_05,healthy_01,healthy
2,1,0.5,3,0.9451073985680191,ST_05,impaired_01,impaired
2,1,0.5,3,0.952922077922078,ST_06,healthy_01,healthy
2,1,0.5,3,0.9046321525885559,ST_06,impaired_01,impaired
2,1,0.5,3,0.9589285714285715,ST_07,healthy_01,healthy
2,0,0.0,3,0.9645390070921985,ST_07,impaired_01,impaired
2,1,0.5,3,0.9058823529411765,ST_08,impaired_01,impaired
4,1,0.25,5,0.8481262327416174,ST_09,healthy_01,healthy
2,0,0.0,3,0.967479674796748,ST_09,impaired_01,impaired
2,1,0.5,3,0.9923736892278361,ST_10,healthy_01,healthy
4,2,0.5,5,0.9788897576231431,ST_10,impaired_01,impaired
