participant,n_cal,n_test,acc,f1_macro,f1_rest,f1_close,f1_open
patient1,432,117,0.8205128205128205,0.8153846153846155,1.0,0.7692307692307692,0.676923076923077
patient10,432,117,0.8205128205128205,0.8136200716845878,1.0,0.7741935483870968,0.6666666666666667
patient11,432,117,0.8803418803418803,0.8790697674418606,1.0,0.8372093023255814,0.8
patient12,432,117,0.8888888888888888,0.8857142857142858,1.0,0.8571428571428571,0.8
patient13,432,117,0.9658119658119658,0.9656995606362694,0.9610389610389611,0.9487179487179487,0.9873417721518987
patient14,432,117,0.5726495726495726,0.5048270248270249,0.7733333333333334,0.5982905982905983,0.14285714285714288
patient15,432,117,0.9914529914529915,0.9914515863882952,1.0,0.9873417721518987,0.9870129870129869
patient16,432,117,1.0,1.0,1.0,1.0,1.0
patient17,432,117,0.9829059829059829,0.982905982905983,1.0,0.9743589743589743,0.9743589743589743
patient18,432,117,0.7777777777777778,0.7764581841330468,0.9014084507042254,0.7499999999999999,0.6779661016949152
patient19,432,117,0.8547008547008547,0.849121010411333,1.0,0.8172043010752689,0.7301587301587301
patient2,432,117,0.6752136752136753,0.6188271604938272,1.0,0.6481481481481483,0.20833333333333334
patient20,432,117,0.7948717948717948,0.7778456837280366,0.9870129870129869,0.7647058823529412,0.5818181818181819
patient21,432,117,0.9487179487179487,0.9485827290705341,1.0,0.9268292682926831,0.9189189189189189
patient22,432,117,0.8205128205128205,0.8064859117490698,1.0,0.787878787878788,0.631578947368421
patient23,432,117,0.8461538461538461,0.8375,1.0,0.8125000000000001,0.7000000000000001
patient24,432,117,0.811965811965812,0.7957142857142857,1.0,0.78,0.6071428571428571
patient25,432,117,0.717948717948718,0.66504001561585,1.0,0.6972477064220183,0.2978723404255319
patient26,432,117,0.905982905982906,0.9040751299681368,1.0,0.8764044943820225,0.835820895522388
patient27,432,117,0.9316239316239316,0.9308970099667774,1.0,0.9069767441860465,0.8857142857142858
patient28,432,117,0.8632478632478633,0.8584444968594666,0.761904761904762,0.8260869565217391,0.9873417721518987
patient29,432,117,0.9658119658119658,0.9657814570095272,0.962962962962963,0.9473684210526315,0.9870129870129869
patient3,432,117,0.9829059829059829,0.9828947368421054,1.0,0.9736842105263158,0.975
patient30,432,117,0.9914529914529915,0.9914515863882952,1.0,0.9870129870129869,0.9873417721518987
patient31,432,117,0.8461538461538461,0.8445681511470985,0.7894736842105263,0.975,0.7692307692307693
patient32,432,117,0.8717948717948718,0.8700649675162418,1.0,0.8275862068965517,0.7826086956521738
patient33,432,117,0.8547008547008547,0.8474547023295944,1.0,0.8210526315789474,0.7213114754098361
patient34,432,117,0.905982905982906,0.9054680559603203,0.9873417721518987,0.8641975308641975,0.8648648648648648
patient35,432,117,0.6324786324786325,0.6210332113883975,0.5681818181818182,0.9367088607594937,0.3582089552238806
patient36,432,117,0.8632478632478633,0.8599326599326601,1.0,0.8222222222222223,0.7575757575757577
patient37,432,117,1.0,1.0,1.0,1.0,1.0
patient38,432,117,0.9572649572649573,0.9572016460905349,1.0,0.9382716049382716,0.9333333333333333
patient39,432,117,0.8290598290598291,0.8215511324639669,1.0,0.7872340425531915,0.6774193548387096
patient4,432,117,0.8974358974358975,0.8957219251336898,1.0,0.8636363636363635,0.8235294117647058
patient40,432,117,0.905982905982906,0.9047143095119106,1.0,0.8735632183908045,0.8405797101449275
patient41,432,117,0.7008547008547008,0.7047515055257759,0.5797101449275363,0.6304347826086957,0.9041095890410958
patient42,432,117,0.9914529914529915,0.9914515863882952,0.9873417721518987,1.0,0.9870129870129869
patient43,432,117,0.8205128205128205,0.825546953290588,0.8529411764705882,0.787878787878788,0.835820895522388
patient44,432,117,0.9401709401709402,0.9396851698425849,1.0,0.9176470588235294,0.9014084507042254
patient45,432,117,0.7948717948717948,0.7771428571428571,1.0,0.76,0.5714285714285713
patient46,432,117,0.9145299145299145,0.9131016042780749,1.0,0.8863636363636364,0.8529411764705882
patient47,432,117,1.0,1.0,1.0,1.0,1.0
patient48,432,117,0.8205128205128205,0.8168707026664431,0.7640449438202247,1.0,0.6865671641791046
patient5,432,117,0.7863247863247863,0.765976597659766,1.0,0.7524752475247525,0.5454545454545454
patient6,432,117,0.7264957264957265,0.6860377358490566,1.0,0.6981132075471698,0.36000000000000004
patient7,432,117,0.9145299145299145,0.9163254163254163,0.945945945945946,0.8863636363636364,0.9166666666666666
patient8,432,117,0.9743589743589743,0.9743209876543211,1.0,0.962962962962963,0.9600000000000001
patient9,432,117,0.7521367521367521,0.7183940242763772,1.0,0.7238095238095238,0.4313725490196078
