participant,n_cal,n_test,fit_time_s,acc,f1_macro,f1_rest,f1_close,f1_open
patient1,432,117,11.670591115951538,0.7264957264957265,0.6711462450592885,1.0,0.7090909090909091,0.30434782608695654
patient2,432,117,12.047123908996582,0.7692307692307693,0.742810038468584,1.0,0.7378640776699028,0.4905660377358491
patient3,432,117,11.355406045913696,0.8376068376068376,0.8293837767923135,0.951219512195122,0.8181818181818182,0.71875
patient4,432,117,11.055082082748413,0.8547008547008547,0.8505494505494505,1.0,0.8131868131868132,0.7384615384615384
patient5,432,117,10.132808923721313,0.8205128205128205,0.8091909837497816,1.0,0.7835051546391754,0.6440677966101694
patient6,432,117,11.130785703659058,0.7094017094017094,0.673076923076923,1.0,0.673076923076923,0.34615384615384615
patient7,432,117,9.840959072113037,0.9316239316239316,0.9308970099667774,1.0,0.9069767441860465,0.8857142857142858
patient8,432,117,9.537487030029297,0.9829059829059829,0.9828947368421054,1.0,0.975,0.9736842105263158
patient9,432,117,9.561076879501343,0.7606837606837606,0.7252830188679246,1.0,0.7358490566037735,0.44000000000000006
patient10,432,117,9.875122785568237,0.7692307692307693,0.7511961722488039,1.0,0.7272727272727274,0.5263157894736842
patient11,432,117,8.596609115600586,0.7863247863247863,0.765976597659766,1.0,0.7524752475247525,0.5454545454545454
patient12,432,117,10.024195671081543,0.9572649572649573,0.9570886284865491,1.0,0.9397590361445783,0.9315068493150686
patient13,432,117,10.075414896011353,0.9914529914529915,0.9914515863882952,1.0,0.9873417721518987,0.9870129870129869
patient14,432,117,10.146944046020508,0.7008547008547008,0.6485898455624047,0.975,0.6728971962616822,0.2978723404255319
patient15,432,117,9.95597505569458,1.0,1.0,1.0,1.0,1.0
patient16,432,117,9.742188692092896,0.8632478632478633,0.8584444968594666,0.9873417721518987,0.8260869565217391,0.761904761904762
patient17,432,117,9.715337038040161,0.9145299145299145,0.9145630243177232,0.9069767441860465,0.9600000000000001,0.8767123287671232
patient18,432,117,9.237431049346924,0.8034188034188035,0.806361739460331,0.9014084507042254,0.7676767676767675,0.7500000000000001
patient19,432,117,9.032318830490112,0.8290598290598291,0.8189671101256467,0.951219512195122,0.8181818181818182,0.6875
patient20,432,117,9.348201990127563,0.8974358974358975,0.8963455149501659,1.0,0.8604651162790696,0.8285714285714285
patient21,432,117,9.191036939620972,0.9487179487179487,0.9485583684950774,0.9873417721518987,0.9249999999999999,0.9333333333333333
patient22,432,117,8.932930946350098,0.9316239316239316,0.9312169312169312,1.0,0.9047619047619048,0.8888888888888888
patient23,432,117,9.142998933792114,0.9230769230769231,0.9229629629629629,1.0,0.8799999999999999,0.888888888888889
patient24,432,117,9.934234857559204,0.8717948717948718,0.8681318681318682,1.0,0.8351648351648352,0.7692307692307693
patient25,432,117,9.391347169876099,0.7008547008547008,0.6401885830784914,0.975,0.6788990825688073,0.2666666666666667
patient26,432,117,9.399595975875854,0.8974358974358975,0.89559967710355,0.9873417721518987,0.8636363636363635,0.835820895522388
patient27,432,117,9.087776899337769,0.9743589743589743,0.974320987654321,1.0,0.9600000000000001,0.962962962962963
patient28,432,117,9.194990158081055,0.8888888888888888,0.8913244846168795,0.9315068493150686,0.8505747126436781,0.8918918918918919
patient29,432,117,9.052067756652832,0.9572649572649573,0.9570415519782607,0.9873417721518987,0.935064935064935,0.9487179487179487
patient30,432,117,8.997386932373047,0.9914529914529915,0.9914515863882952,1.0,0.9870129870129869,0.9873417721518987
patient31,432,117,9.154398918151855,0.8376068376068376,0.8343603280188646,0.8051948051948051,0.951219512195122,0.7466666666666666
patient32,432,117,9.157383918762207,0.7264957264957265,0.6790123456790124,1.0,0.7037037037037037,0.3333333333333333
patient33,432,117,9.001150131225586,0.7777777777777778,0.7450800635619118,0.962962962962963,0.7722772277227723,0.5
patient34,432,117,9.023260116577148,0.9401709401709402,0.9399469793281326,0.9873417721518987,0.9135802469135802,0.9189189189189189
patient35,432,117,8.931474924087524,0.6239316239316239,0.55352743117449,0.6464646464646464,0.8941176470588235,0.12000000000000001
patient36,432,117,9.156093120574951,0.8632478632478633,0.8586956521739131,1.0,0.8260869565217391,0.7500000000000001
patient37,432,117,9.022038698196411,0.9914529914529915,0.9914515863882952,1.0,0.9870129870129869,0.9873417721518987
patient38,432,117,9.076994895935059,0.8632478632478633,0.8572409059711736,1.0,0.8297872340425533,0.7419354838709677
patient39,432,117,9.11526083946228,0.8461538461538461,0.8426767676767678,0.975,0.7954545454545455,0.7575757575757577
patient40,432,117,10.182712078094482,0.9658119658119658,0.9656995606362694,0.9873417721518987,0.9487179487179487,0.9610389610389611
patient41,432,117,10.531940937042236,0.6581196581196581,0.6655501995307821,0.6060606060606061,0.6213592233009708,0.7692307692307693
patient42,432,117,9.064052104949951,0.9658119658119658,0.9660774997360363,0.951219512195122,0.9600000000000001,0.9870129870129869
patient43,432,117,9.061112642288208,0.8803418803418803,0.8804347670019311,0.9610389610389611,0.8444444444444443,0.835820895522388
patient44,432,117,9.577839136123657,0.9401709401709402,0.9393004115226337,0.962962962962963,0.9166666666666666,0.9382716049382716
patient45,432,117,12.07607126235962,0.7350427350427351,0.7047078219454113,1.0,0.6990291262135923,0.4150943396226415
patient46,432,117,11.086083173751831,0.9401709401709402,0.9396851698425849,1.0,0.9176470588235294,0.9014084507042254
patient47,432,117,9.581496953964233,1.0,1.0,1.0,1.0,1.0
patient48,432,117,9.606646060943604,0.8803418803418803,0.8796296296296297,0.8333333333333333,1.0,0.8055555555555556
