participant,n_test,acc,f1_macro,f1_rest,f1_close,f1_open
patient1,117,0.29914529914529914,0.2780952380952381,0.0,0.2476190476190476,0.5866666666666667
patient2,117,0.19658119658119658,0.18940809968847352,0.0,0.16822429906542055,0.4
patient3,117,0.26495726495726496,0.25824977639693075,0.0,0.2268041237113402,0.547945205479452
patient4,117,0.3333333333333333,0.32928809869686887,0.3488372093023256,0.3703703703703704,0.2686567164179105
patient5,117,0.13675213675213677,0.10193548387096774,0.0,0.22580645161290322,0.08
patient6,117,0.15384615384615385,0.1671267540832758,0.0,0.15217391304347827,0.34920634920634913
patient7,117,0.2564102564102564,0.26820512820512826,0.0,0.22000000000000003,0.5846153846153846
patient8,117,0.36752136752136755,0.36228070175438604,0.0,0.3368421052631579,0.7500000000000001
patient9,117,0.18803418803418803,0.19682539682539682,0.0,0.19047619047619047,0.4
patient10,117,0.3333333333333333,0.30250783699059564,0.0,0.3620689655172414,0.5454545454545455
patient11,117,0.23931623931623933,0.24625764284208307,0.0,0.2549019607843137,0.4838709677419355
patient12,117,0.37606837606837606,0.34881956531441066,0.0,0.37113402061855666,0.6753246753246753
patient13,117,0.3504273504273504,0.3536036036036036,0.0,0.25,0.8108108108108107
patient14,117,0.19658119658119658,0.1868872549019608,0.03125,0.23529411764705882,0.29411764705882354
patient15,117,0.07692307692307693,0.05454545454545454,0.0,0.16363636363636364,0.0
patient16,117,0.3418803418803419,0.3210846189808322,0.0,0.3826086956521739,0.5806451612903226
patient17,117,0.1282051282051282,0.08512820512820514,0.0,0.21538461538461542,0.04
patient18,117,0.18803418803418803,0.20895735273142205,0.10526315789473684,0.17073170731707318,0.3508771929824561
patient19,117,0.37606837606837606,0.3318596621038352,0.5411764705882353,0.41666666666666663,0.03773584905660377
patient20,117,0.23076923076923078,0.19545454545454546,0.0,0.2833333333333333,0.30303030303030304
patient21,117,0.3076923076923077,0.2948996201844818,0.0,0.2268041237113402,0.6578947368421052
patient22,117,0.3076923076923077,0.2804232804232804,0.0,0.2857142857142857,0.5555555555555556
patient23,117,0.1794871794871795,0.12970212765957448,0.0,0.30400000000000005,0.0851063829787234
patient24,117,0.3162393162393162,0.2678666453810132,0.28125,0.4482758620689655,0.07407407407407407
patient25,117,0.23076923076923078,0.2227191826734161,0.060606060606060615,0.2391304347826087,0.368421052631579
patient26,117,0.26495726495726496,0.2691511387163561,0.0,0.28571428571428575,0.5217391304347826
patient27,117,0.11965811965811966,0.11417513304305758,0.0,0.15384615384615388,0.18867924528301885
patient28,117,0.24786324786324787,0.25448028673835127,0.0,0.3440860215053763,0.4193548387096774
patient29,117,0.5470085470085471,0.527713056985209,0.4375,0.3544303797468355,0.7912087912087913
patient30,117,0.17094017094017094,0.13965293965293965,0.0,0.2735042735042735,0.14545454545454548
patient31,117,0.38461538461538464,0.37157707910750504,0.3218390804597701,0.31372549019607837,0.47916666666666663
patient32,117,0.11965811965811966,0.10100836841831695,0.03773584905660377,0.1652892561983471,0.1
patient33,117,0.19658119658119658,0.18691001630283507,0.024096385542168676,0.3366336633663366,0.19999999999999996
patient34,117,0.49572649572649574,0.490358779832464,0.6666666666666666,0.23684210526315788,0.5675675675675675
patient35,117,0.2564102564102564,0.22416572365534285,0.37894736842105264,0.2558139534883721,0.03773584905660377
patient36,117,0.13675213675213677,0.15543489832854254,0.0,0.07920792079207921,0.3870967741935484
patient37,117,0.10256410256410256,0.07947712418300652,0.0,0.16,0.07843137254901959
patient38,117,0.3247863247863248,0.2971496086250185,0.0,0.459016393442623,0.43243243243243246
patient39,117,0.38461538461538464,0.36164383561643837,0.0,0.4,0.6849315068493151
patient40,117,0.18803418803418803,0.1946824873654142,0.0,0.0975609756097561,0.48648648648648646
patient41,117,0.4017094017094017,0.4041884285786725,0.48648648648648646,0.34146341463414637,0.38461538461538464
patient42,117,0.15384615384615385,0.1286449399656947,0.0,0.27272727272727276,0.11320754716981134
patient43,117,0.28205128205128205,0.2650401152153488,0.15873015873015872,0.35514018691588783,0.28125
patient44,117,0.2564102564102564,0.2426983716722667,0.0,0.20754716981132074,0.5205479452054794
patient45,117,0.19658119658119658,0.18498412481908355,0.23655913978494622,0.20930232558139536,0.1090909090909091
patient46,117,0.06837606837606838,0.048484848484848485,0.0,0.14545454545454545,0.0
patient47,117,0.6324786324786325,0.6090354090354091,0.7912087912087913,0.3692307692307692,0.6666666666666666
patient48,117,0.07692307692307693,0.04761904761904762,0.0,0.14285714285714288,0.0
