offset_windows,offset_ms,n,errors,error_rate
-5,-250,658,60,0.0911854103343465
-4,-200,658,61,0.09270516717325228
-3,-150,658,66,0.10030395136778116
-2,-100,658,63,0.09574468085106383
-1,-50,658,72,0.1094224924012158
0,0,658,43,0.06534954407294832
1,50,658,55,0.08358662613981763
2,100,658,75,0.11398176291793313
3,150,658,77,0.11702127659574468
4,200,658,73,0.11094224924012158
5,250,658,72,0.1094224924012158
6,300,658,81,0.12310030395136778
7,350,658,82,0.12462006079027356
8,400,658,88,0.1337386018237082
9,450,658,90,0.13677811550151975
10,500,658,92,0.1398176291793313
11,550,658,89,0.135258358662614
12,600,658,101,0.1534954407294833
13,650,658,106,0.16109422492401215
14,700,658,96,0.1458966565349544
15,750,658,105,0.1595744680851064
16,800,658,107,0.16261398176291794
17,850,658,107,0.16261398176291794
18,900,658,106,0.16109422492401215
19,950,658,105,0.1595744680851064
20,1000,657,107,0.1628614916286149
21,1050,657,127,0.1933028919330289
22,1100,657,116,0.1765601217656012
23,1150,657,123,0.1872146118721461
24,1200,657,120,0.182648401826484
25,1250,657,118,0.1796042617960426
26,1300,657,120,0.182648401826484
27,1350,657,123,0.1872146118721461
28,1400,657,123,0.1872146118721461
29,1450,657,123,0.1872146118721461
30,1500,657,127,0.1933028919330289
31,1550,656,122,0.18597560975609756
32,1600,656,122,0.18597560975609756
33,1650,656,131,0.19969512195121952
34,1700,656,132,0.20121951219512196
35,1750,656,142,0.21646341463414634
36,1800,656,147,0.22408536585365854
37,1850,656,150,0.22865853658536586
38,1900,656,158,0.24085365853658536
39,1950,656,146,0.2225609756097561
40,2000,656,148,0.22560975609756098
41,2050,656,149,0.22713414634146342
42,2100,329,4,0.0121580547112462
43,2150,329,5,0.015197568389057751
44,2200,329,7,0.02127659574468085
45,2250,329,7,0.02127659574468085
46,2300,329,7,0.02127659574468085
47,2350,329,9,0.02735562310030395
48,2400,329,11,0.03343465045592705
49,2450,329,8,0.0243161094224924
50,2500,329,17,0.05167173252279635
