patient,weight,acc,n_cal,n_test
patient1,0.0,0.7948717948717948,432,117
patient1,1.0,0.7094017094017094,432,117
patient1,10.0,0.7948717948717948,432,117
patient1,100.0,0.8461538461538461,432,117
patient1,1000.0,0.8632478632478633,432,117
patient2,0.0,0.8034188034188035,432,117
patient2,1.0,0.717948717948718,432,117
patient2,10.0,0.7863247863247863,432,117
patient2,100.0,0.7777777777777778,432,117
patient2,1000.0,0.8034188034188035,432,117
patient3,0.0,0.6495726495726496,432,117
patient3,1.0,0.7094017094017094,432,117
patient3,10.0,0.7435897435897436,432,117
patient3,100.0,0.7350427350427351,432,117
patient3,1000.0,0.7606837606837606,432,117
patient4,0.0,0.8974358974358975,432,117
patient4,1.0,0.8034188034188035,432,117
patient4,10.0,0.9145299145299145,432,117
patient4,100.0,0.9572649572649573,432,117
patient4,1000.0,0.9316239316239316,432,117
patient5,0.0,0.8547008547008547,432,117
patient5,1.0,0.6752136752136753,432,117
patient5,10.0,0.8290598290598291,432,117
patient5,100.0,0.8376068376068376,432,117
patient5,1000.0,0.8376068376068376,432,117
patient6,0.0,0.6581196581196581,432,117
patient6,1.0,0.8290598290598291,432,117
patient6,10.0,0.8632478632478633,432,117
patient6,100.0,0.8547008547008547,432,117
patient6,1000.0,0.8547008547008547,432,117
patient7,0.0,0.9743589743589743,432,117
patient7,1.0,0.7350427350427351,432,117
patient7,10.0,0.8974358974358975,432,117
patient7,100.0,0.905982905982906,432,117
patient7,1000.0,0.9487179487179487,432,117
patient8,0.0,0.9658119658119658,432,117
patient8,1.0,0.8632478632478633,432,117
patient8,10.0,0.9658119658119658,432,117
patient8,100.0,0.9487179487179487,432,117
patient8,1000.0,0.9658119658119658,432,117
patient9,0.0,0.8290598290598291,432,117
patient9,1.0,0.9401709401709402,432,117
patient9,10.0,0.8461538461538461,432,117
patient9,100.0,0.8547008547008547,432,117
patient9,1000.0,0.8547008547008547,432,117
patient10,0.0,0.7350427350427351,432,117
patient10,1.0,0.5982905982905983,432,117
patient10,10.0,0.6752136752136753,432,117
patient10,100.0,0.6837606837606838,432,117
patient10,1000.0,0.7094017094017094,432,117
patient11,0.0,0.7692307692307693,432,117
