patient,cal_per_gesture,weight,acc
patient1,3,0.0,0.3333333333333333
patient1,3,1.0,0.6666666666666666
patient1,3,10.0,0.7350427350427351
patient1,3,100.0,0.7606837606837606
patient1,3,1000.0,0.8205128205128205
patient1,6,0.0,0.7692307692307693
patient1,6,1.0,0.6666666666666666
patient1,6,10.0,0.717948717948718
patient1,6,100.0,0.7863247863247863
patient1,6,1000.0,0.811965811965812
patient1,12,0.0,0.7948717948717948
patient1,12,1.0,0.7777777777777778
patient1,12,10.0,0.8717948717948718
patient1,12,100.0,0.8717948717948718
patient1,12,1000.0,0.8717948717948718
patient1,24,0.0,0.7692307692307693
patient1,24,1.0,0.7777777777777778
patient1,24,10.0,0.8547008547008547
patient1,24,100.0,0.8205128205128205
patient1,24,1000.0,0.8632478632478633
patient1,36,0.0,0.7948717948717948
patient1,36,1.0,0.6666666666666666
patient1,36,10.0,0.811965811965812
patient1,36,100.0,0.8547008547008547
patient1,36,1000.0,0.8632478632478633
patient2,3,0.0,0.3333333333333333
patient2,3,1.0,0.4017094017094017
patient2,3,10.0,0.5811965811965812
patient2,3,100.0,0.8803418803418803
patient2,3,1000.0,0.8290598290598291
patient2,6,0.0,0.8974358974358975
patient2,6,1.0,0.5128205128205128
patient2,6,10.0,0.7435897435897436
patient2,6,100.0,0.8461538461538461
patient2,6,1000.0,0.8632478632478633
patient2,12,0.0,0.8547008547008547
patient2,12,1.0,0.6666666666666666
patient2,12,10.0,0.8632478632478633
patient2,12,100.0,0.8205128205128205
patient2,12,1000.0,0.8290598290598291
patient2,24,0.0,0.7521367521367521
patient2,24,1.0,0.6239316239316239
patient2,24,10.0,0.7521367521367521
patient2,24,100.0,0.7264957264957265
patient2,24,1000.0,0.7606837606837606
patient2,36,0.0,0.8034188034188035
patient2,36,1.0,0.6923076923076923
patient2,36,10.0,0.7948717948717948
patient2,36,100.0,0.7863247863247863
patient2,36,1000.0,0.8034188034188035
patient3,3,0.0,0.3333333333333333
patient3,3,1.0,0.6495726495726496
patient3,3,10.0,0.6410256410256411
patient3,3,100.0,0.6581196581196581
patient3,3,1000.0,0.6581196581196581
patient3,6,0.0,0.7692307692307693
patient3,6,1.0,0.6581196581196581
patient3,6,10.0,0.6837606837606838
patient3,6,100.0,0.6837606837606838
patient3,6,1000.0,0.717948717948718
patient3,12,0.0,0.7948717948717948
patient3,12,1.0,0.717948717948718
patient3,12,10.0,0.7094017094017094
patient3,12,100.0,0.6923076923076923
patient3,12,1000.0,0.7435897435897436
patient3,24,0.0,0.6666666666666666
patient3,24,1.0,0.6581196581196581
patient3,24,10.0,0.6923076923076923
patient3,24,100.0,0.6752136752136753
patient3,24,1000.0,0.7008547008547008
patient3,36,0.0,0.6581196581196581
patient3,36,1.0,0.7094017094017094
patient3,36,10.0,0.7435897435897436
patient3,36,100.0,0.7692307692307693
patient3,36,1000.0,0.7863247863247863
patient4,3,0.0,0.3333333333333333
patient4,3,1.0,0.7521367521367521
patient4,3,10.0,0.8632478632478633
patient4,3,100.0,0.7777777777777778
patient4,3,1000.0,0.8034188034188035
patient4,6,0.0,0.8717948717948718
patient4,6,1.0,0.8461538461538461
patient4,6,10.0,0.8461538461538461
patient4,6,100.0,0.7863247863247863
patient4,6,1000.0,0.7094017094017094
patient4,12,0.0,0.8974358974358975
patient4,12,1.0,0.7777777777777778
patient4,12,10.0,0.8717948717948718
patient4,12,100.0,0.8376068376068376
patient4,12,1000.0,0.8803418803418803
patient4,24,0.0,0.8803418803418803
patient4,24,1.0,0.811965811965812
patient4,24,10.0,0.8717948717948718
patient4,24,100.0,0.9401709401709402
patient4,24,1000.0,0.9145299145299145
patient4,36,0.0,0.8888888888888888
patient4,36,1.0,0.811965811965812
