patient,n_features,d_within_own_hlth_vs_own_imp,d_across_own_imp_vs_others_imp,diff_within_minus_across
patient1,370,0.8177524805580197,0.2556970490543162,0.5620554315037036
patient2,370,0.9551446399372607,0.31493221604429855,0.6402124238929622
patient3,370,0.368470917707866,0.34785481752570135,0.020616100182164643
patient4,370,0.7268318826316235,0.6036485874448039,0.12318329518681959
patient5,370,0.7337890645774136,0.24192965481614345,0.49185940976127007
patient6,370,0.4126971606704328,0.2780116526832356,0.13468550798719725
patient7,370,0.5909212205339525,0.19739484753249054,0.3935263730014619
patient8,370,0.8481064160506231,0.2868824498779267,0.5612239661726963
patient9,370,1.0295907468663255,0.23502152660211906,0.7945692202642064
patient10,370,1.0580150467814817,0.27798354694446936,0.7800314998370124
patient11,370,0.9194031262029192,0.27356769624713756,0.6458354299557816
patient12,370,1.0354817549181585,0.31295147384932887,0.7225302810688297
patient13,370,0.5471142879268901,0.25481859814637253,0.29229568978051756
patient14,370,1.0532926760207697,0.40827918194350615,0.6450134940772636
patient15,370,0.36791896889684716,0.42703588478643756,-0.05911691588959039
patient16,370,0.743678086780444,0.3947832109255651,0.3488948758548789
patient17,370,0.41044072747360905,0.2207415616093614,0.18969916586424765
patient18,370,0.8777788787406348,0.37900728672364575,0.498771592016989
patient19,370,0.8703383715612489,0.2941612413176927,0.5761771302435562
patient20,370,0.9706341865286475,0.26844401528533324,0.7021901712433143
patient21,370,0.46612629884296136,0.5357077437608444,-0.06958144491788304
patient22,370,0.562717975850124,0.22937180390655296,0.33334617194357097
patient23,370,0.6332530062637656,0.2609003393965738,0.37235266686719176
patient24,370,1.0907454935598395,0.39751396220065366,0.6932315313591859
patient25,370,0.7003119610076403,0.247749833388321,0.45256212761931924
patient26,370,0.7494260110766351,0.25635721414833634,0.49306879692829875
patient27,370,0.6350822409716185,0.27475090057840984,0.36033134039320863
patient28,370,1.0643014425816095,0.7122940598413511,0.35200738274025845
patient29,370,0.6220317394833059,0.17034567862374383,0.4516860608595621
patient30,370,0.7287253720581883,0.34280638423974585,0.38591898781844247
patient31,370,0.24285704290136215,0.5077611332894424,-0.26490409038808027
patient32,370,0.2295006835884785,0.47749374955025087,-0.24799306596177237
patient33,370,0.6539582242128545,0.2930890172340754,0.36086920697877917
patient34,370,0.5084166416796564,0.24320277205252386,0.26521386962713256
patient35,370,0.8352448873972563,0.3681239303902648,0.4671209570069915
patient36,370,1.0322304159748779,0.3407809765479311,0.6914494394269468
patient37,370,0.7483347278175162,0.5303086981872074,0.21802602963030882
patient38,370,0.45501281835108676,0.2262010476679091,0.22881177068317765
patient39,370,0.5434637345904437,0.26530289129948614,0.2781608432909576
patient40,370,1.1210338170245047,0.3555906825250343,0.7654431344994703
patient41,370,0.7730745002136237,0.32733060568551736,0.4457438945281063
patient42,370,0.4973646825553481,0.23334257508663292,0.2640221074687152
patient43,370,0.9473829989174773,0.40461671102359376,0.5427662878938836
patient44,370,0.7189231862739089,0.2272205570012665,0.4917026292726424
patient45,370,0.8094695576822097,0.37980862322311787,0.42966093445909187
patient46,370,0.6704929712843809,0.32184322354637906,0.34864974773800184
patient47,370,1.026976038105527,0.25287165448422066,0.7741043836213064
patient48,370,0.9394067352635117,0.4839106120105473,0.4554961232529644
