patient,acc_identity,acc_best_perm,acc_worst_perm,acc_mirror_perm,best_perm,leakage_free
patient1,0.6495726495726496,0.6923076923076923,0.6495726495726496,0.6666666666666666,"(4, 13, 0, 9)",True
patient2,0.5213675213675214,0.6324786324786325,0.5042735042735043,0.6324786324786325,"(4, 0, 9, 13)",True
patient3,0.6068376068376068,0.6153846153846154,0.5641025641025641,0.5811965811965812,"(4, 13, 0, 9)",True
patient4,0.5128205128205128,0.5213675213675214,0.38461538461538464,0.38461538461538464,"(9, 0, 4, 13)",True
patient5,0.3247863247863248,0.4444444444444444,0.3247863247863248,0.4017094017094017,"(0, 9, 4, 13)",True
patient6,0.2905982905982906,0.3247863247863248,0.2222222222222222,0.3247863247863248,"(4, 0, 13, 9)",True
patient7,0.9145299145299145,0.9316239316239316,0.6239316239316239,0.6666666666666666,"(4, 13, 9, 0)",True
patient8,0.9401709401709402,0.9572649572649573,0.6581196581196581,0.6666666666666666,"(9, 4, 0, 13)",True
patient9,0.8205128205128205,0.8205128205128205,0.42735042735042733,0.4358974358974359,"(0, 4, 9, 13)",True
patient10,0.7008547008547008,0.7094017094017094,0.6752136752136753,0.7008547008547008,"(13, 4, 0, 9)",True
patient11,0.6324786324786325,0.9658119658119658,0.5470085470085471,0.7521367521367521,"(0, 9, 13, 4)",True
patient12,0.8034188034188035,0.9230769230769231,0.8034188034188035,0.9145299145299145,"(9, 0, 4, 13)",True
patient13,0.905982905982906,0.9487179487179487,0.811965811965812,0.8974358974358975,"(9, 4, 0, 13)",True
patient14,0.9743589743589743,0.9829059829059829,0.9145299145299145,0.9487179487179487,"(0, 4, 13, 9)",True
patient15,0.905982905982906,0.9572649572649573,0.905982905982906,0.9230769230769231,"(0, 13, 4, 9)",True
patient16,0.5726495726495726,0.7948717948717948,0.23931623931623933,0.28205128205128205,"(9, 0, 4, 13)",True
patient17,0.9743589743589743,0.9743589743589743,0.9572649572649573,0.9743589743589743,"(0, 4, 9, 13)",True
patient18,0.4188034188034188,0.905982905982906,0.10256410256410256,0.8461538461538461,"(4, 13, 0, 9)",True
patient19,0.8034188034188035,0.9316239316239316,0.6068376068376068,0.7863247863247863,"(0, 9, 13, 4)",True
patient20,0.9658119658119658,0.9658119658119658,0.8974358974358975,0.9487179487179487,"(0, 4, 9, 13)",True
patient21,0.8461538461538461,0.8547008547008547,0.5299145299145299,0.5641025641025641,"(0, 9, 4, 13)",True
patient22,0.9743589743589743,0.9743589743589743,0.36752136752136755,0.8376068376068376,"(0, 4, 9, 13)",True
patient23,0.5384615384615384,0.5470085470085471,0.29914529914529914,0.39316239316239315,"(9, 13, 4, 0)",True
patient24,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,"(0, 4, 9, 13)",True
patient25,0.47863247863247865,0.8205128205128205,0.47863247863247865,0.5811965811965812,"(13, 4, 0, 9)",True
patient26,0.7948717948717948,0.9401709401709402,0.4358974358974359,0.9145299145299145,"(4, 13, 9, 0)",True
patient27,0.9914529914529915,0.9914529914529915,0.6068376068376068,0.6068376068376068,"(0, 4, 9, 13)",True
patient28,0.3333333333333333,0.6239316239316239,0.3247863247863248,0.5726495726495726,"(4, 13, 0, 9)",True
patient29,0.6581196581196581,0.7435897435897436,0.6153846153846154,0.6495726495726496,"(9, 4, 13, 0)",True
patient30,0.37606837606837606,0.39316239316239315,0.24786324786324787,0.3162393162393162,"(9, 4, 13, 0)",True
patient31,0.6068376068376068,0.6666666666666666,0.3333333333333333,0.6666666666666666,"(0, 13, 4, 9)",True
patient32,0.6837606837606838,0.8888888888888888,0.29914529914529914,0.3162393162393162,"(9, 0, 13, 4)",True
patient33,0.46153846153846156,0.5213675213675214,0.4444444444444444,0.4700854700854701,"(9, 4, 13, 0)",True
patient34,0.49572649572649574,0.7777777777777778,0.49572649572649574,0.7777777777777778,"(4, 0, 13, 9)",True
patient35,0.17094017094017094,0.452991452991453,0.17094017094017094,0.17094017094017094,"(4, 13, 9, 0)",True
patient36,0.6495726495726496,0.6837606837606838,0.4444444444444444,0.4444444444444444,"(0, 9, 4, 13)",True
patient37,0.5811965811965812,0.5811965811965812,0.5128205128205128,0.5470085470085471,"(0, 4, 9, 13)",True
patient38,0.6410256410256411,0.7863247863247863,0.6239316239316239,0.7435897435897436,"(13, 0, 9, 4)",True
patient39,0.6495726495726496,0.6752136752136753,0.3333333333333333,0.6495726495726496,"(0, 9, 13, 4)",True
patient40,0.7692307692307693,0.9230769230769231,0.5811965811965812,0.5897435897435898,"(9, 13, 0, 4)",True
patient41,0.5213675213675214,0.6581196581196581,0.48717948717948717,0.6324786324786325,"(0, 9, 13, 4)",True
patient42,0.5384615384615384,0.5384615384615384,0.4444444444444444,0.46153846153846156,"(0, 4, 9, 13)",True
patient43,0.5811965811965812,0.6410256410256411,0.2905982905982906,0.5726495726495726,"(0, 9, 4, 13)",True
patient44,0.3333333333333333,0.6410256410256411,0.20512820512820512,0.2222222222222222,"(4, 13, 0, 9)",True
patient45,0.6752136752136753,0.8717948717948718,0.5982905982905983,0.6068376068376068,"(9, 0, 13, 4)",True
patient46,0.28205128205128205,0.5897435897435898,0.2564102564102564,0.39316239316239315,"(0, 9, 13, 4)",True
patient47,0.6581196581196581,0.6581196581196581,0.46153846153846156,0.46153846153846156,"(0, 4, 9, 13)",True
patient48,0.452991452991453,0.6752136752136753,0.3162393162393162,0.6752136752136753,"(4, 0, 13, 9)",True
