patient,n_features,d_within_own_hlth_vs_own_imp,d_across_own_imp_vs_others_imp,diff_within_minus_across,leakage_free
patient1,370,0.7574263857992433,0.40157888195339364,0.3558475038458496,True
patient2,370,0.735779178601026,0.36523823493535834,0.3705409436656677,True
patient3,370,0.5515932055735902,0.21377081567933315,0.337822389894257,True
patient4,370,0.9332786265917045,0.3761735600565679,0.5571050665351366,True
patient5,370,0.5780733340299772,0.3908432468025969,0.18723008722738027,True
patient6,370,0.20604545786783907,0.29403604476392853,-0.08799058689608946,True
patient7,370,0.2230732214373142,0.17978554222686752,0.04328767921044668,True
patient8,370,0.1819286996641406,0.21139745486786993,-0.029468755203729324,True
patient9,370,0.16841471885328657,0.26218921196719003,-0.09377449311390346,True
patient10,370,0.48229131785182994,0.2600428151879719,0.22224850266385804,True
patient11,370,0.47849623220240556,0.515992202507766,-0.03749597030536045,True
patient12,370,0.29954889954500236,0.3835025567690822,-0.08395365722407983,True
patient13,370,0.3461872960385146,0.26466267658498766,0.08152461945352696,True
patient14,370,0.5198583854480836,0.38337966415401614,0.13647872129406746,True
patient15,370,0.765267733591456,0.5628186868808062,0.20244904671064978,True
patient16,370,0.6568249722813229,0.5690951769816246,0.08772979529969827,True
patient17,370,0.5661682321112369,0.28943853352273147,0.27672969858850544,True
patient18,370,0.34105066260708494,0.30337872168719127,0.037671940919893676,True
patient19,370,0.3547831921928718,0.36098979686256477,-0.006206604669692972,True
patient20,370,0.28990476775095086,0.34009204958078854,-0.05018728182983767,True
patient21,370,0.7111995517744493,0.38100912214497784,0.3301904296294714,True
patient22,370,0.19050638660656463,0.39446205143780455,-0.20395566483123992,True
patient23,370,0.1660714120653414,0.16899973657124512,-0.0029283245059037177,True
patient24,370,0.5457431260709245,0.3046097723000951,0.24113335377082934,True
patient25,370,0.3881713140051396,0.20066477866683868,0.18750653533830092,True
patient26,370,0.1999831455746629,0.258650576269649,-0.05866743069498609,True
patient27,370,0.20798363509624773,0.21130450384734045,-0.0033208687510927204,True
patient28,370,0.293216260131089,0.19008287515962696,0.10313338497146202,True
patient29,370,0.4601171634596108,0.17793983053547924,0.28217733292413155,True
patient30,370,0.6634507229734183,0.562198358734316,0.10125236423910233,True
patient31,370,0.24166880702157736,0.3163237215977676,-0.07465491457619025,True
patient32,370,0.39454062035427545,0.2804415151134016,0.11409910524087385,True
patient33,370,0.2572249185917155,0.21168976416610583,0.04553515442560965,True
patient34,370,0.5399520212256051,0.29911807595680456,0.2408339452688006,True
patient35,370,1.0228491986308972,0.4388305681780646,0.5840186304528325,True
patient36,370,0.12428890771011424,0.42716553066479734,-0.3028766229546831,True
patient37,370,0.9550167221337551,0.5033578040062687,0.4516589181274864,True
patient38,370,0.5260292669031827,0.2780303069305947,0.24799895997258803,True
patient39,370,0.3867025255087258,0.3853822926463046,0.0013202328624212223,True
patient40,370,0.34304944362796924,0.20016716855964822,0.14288227506832102,True
patient41,370,0.22669060740732688,0.21207452546493433,0.014616081942392556,True
patient42,370,0.9276886538219656,0.4186168520532648,0.5090718017687008,True
patient43,370,0.6449299815679436,0.5097076814614998,0.13522230010644376,True
patient44,370,0.5897040727197924,0.2289594492809115,0.3607446234388809,True
patient45,370,0.43553049711062347,0.24285992270306514,0.19267057440755833,True
patient46,370,0.28117679921523925,0.2168351713399655,0.06434162787527375,True
patient47,370,0.7487480656182074,0.40568404054223095,0.34306402507597644,True
patient48,370,0.38893679170934875,0.31655310546035487,0.07238368624899388,True
