patient,n_pathology,n_anatomy,n_stacked,path_only_acc,anat_only_acc,stacked_acc,leakage_free
patient1,432,432,864,0.8205128205128205,0.6495726495726496,0.7948717948717948,True
patient2,432,432,864,0.7094017094017094,0.5213675213675214,0.8034188034188035,True
patient3,432,432,864,0.6324786324786325,0.6068376068376068,0.6068376068376068,True
patient4,432,432,864,0.7435897435897436,0.5128205128205128,0.6410256410256411,True
patient5,432,432,864,0.5470085470085471,0.3247863247863248,0.5555555555555556,True
patient6,432,432,864,0.4188034188034188,0.2905982905982906,0.4358974358974359,True
patient7,432,432,864,0.8632478632478633,0.9145299145299145,0.9316239316239316,True
patient8,432,432,864,0.8632478632478633,0.9401709401709402,0.7863247863247863,True
patient9,432,432,864,0.7008547008547008,0.8205128205128205,0.8461538461538461,True
patient10,432,432,864,0.5897435897435898,0.7008547008547008,0.6153846153846154,True
patient11,432,432,864,0.6239316239316239,0.6324786324786325,0.6324786324786325,True
patient12,432,432,864,0.7606837606837606,0.8034188034188035,0.6581196581196581,True
patient13,432,432,864,0.7264957264957265,0.905982905982906,0.8376068376068376,True
patient14,432,432,864,0.8205128205128205,0.9743589743589743,0.7948717948717948,True
patient15,432,432,864,0.8632478632478633,0.905982905982906,0.7692307692307693,True
patient16,432,432,864,0.6581196581196581,0.5726495726495726,0.7435897435897436,True
patient17,432,432,864,0.8632478632478633,0.9743589743589743,0.8974358974358975,True
patient18,432,432,864,0.9230769230769231,0.4188034188034188,0.9658119658119658,True
patient19,432,432,864,0.7008547008547008,0.8034188034188035,0.7863247863247863,True
patient20,432,432,864,0.9230769230769231,0.9658119658119658,0.8717948717948718,True
patient21,432,432,864,0.8803418803418803,0.8461538461538461,0.8290598290598291,True
patient22,432,432,864,0.9487179487179487,0.9743589743589743,0.9829059829059829,True
patient23,432,432,864,0.8205128205128205,0.5384615384615384,0.9401709401709402,True
patient24,432,432,864,0.5641025641025641,0.6666666666666666,0.6581196581196581,True
patient25,432,432,864,0.8974358974358975,0.47863247863247865,0.8888888888888888,True
patient26,432,432,864,0.6495726495726496,0.7948717948717948,0.7094017094017094,True
patient27,432,432,864,0.6153846153846154,0.9914529914529915,0.811965811965812,True
patient28,432,432,864,0.8888888888888888,0.3333333333333333,0.905982905982906,True
patient29,432,432,864,0.8888888888888888,0.6581196581196581,0.8974358974358975,True
patient30,432,432,864,0.7521367521367521,0.37606837606837606,0.8376068376068376,True
patient31,432,432,864,0.7008547008547008,0.6068376068376068,0.7094017094017094,True
patient32,432,432,864,0.6752136752136753,0.6837606837606838,0.6410256410256411,True
patient33,432,432,864,0.8632478632478633,0.46153846153846156,0.8632478632478633,True
patient34,432,432,864,0.9316239316239316,0.49572649572649574,0.8888888888888888,True
patient35,432,432,864,0.6239316239316239,0.17094017094017094,0.6153846153846154,True
patient36,432,432,864,0.7264957264957265,0.6495726495726496,0.6752136752136753,True
patient37,432,432,864,0.6324786324786325,0.5811965811965812,0.6239316239316239,True
patient38,432,432,864,0.6837606837606838,0.6410256410256411,0.7350427350427351,True
patient39,432,432,864,0.8205128205128205,0.6495726495726496,0.8461538461538461,True
patient40,432,432,864,0.8717948717948718,0.7692307692307693,0.8717948717948718,True
patient41,432,432,864,0.6581196581196581,0.5213675213675214,0.7606837606837606,True
patient42,432,432,864,0.9316239316239316,0.5384615384615384,0.8974358974358975,True
patient43,432,432,864,0.9145299145299145,0.5811965811965812,0.8461538461538461,True
patient44,432,432,864,0.8974358974358975,0.3333333333333333,0.8888888888888888,True
patient45,432,432,864,0.6666666666666666,0.6752136752136753,0.6581196581196581,True
patient46,432,432,864,0.8803418803418803,0.28205128205128205,0.8803418803418803,True
patient47,432,432,864,0.7435897435897436,0.6581196581196581,0.8034188034188035,True
patient48,432,432,864,0.8461538461538461,0.452991452991453,0.7094017094017094,True
