patient,n_windows_replayed,deployed_acc,runtime_s
patient1,972,,9.65570330619812
patient2,972,,0.620100736618042
patient3,972,,0.6600222587585449
patient4,972,,0.6286146640777588
patient5,972,,0.6267087459564209
patient6,972,,0.6037061214447021
patient7,972,,0.6296906471252441
patient8,972,,0.6146728992462158
patient9,972,,0.5940074920654297
patient10,972,,0.5768134593963623
patient11,972,,0.6304881572723389
patient12,972,,0.6247122287750244
patient13,972,,0.6242108345031738
patient14,972,,0.5314016342163086
patient15,972,,0.5440285205841064
patient16,972,,0.5389981269836426
patient17,972,,0.5846128463745117
patient18,972,,0.6010284423828125
patient19,972,,0.6089322566986084
patient20,972,,0.5851821899414062
patient21,972,,0.5746073722839355
patient22,972,,0.629755973815918
patient23,972,,0.6093196868896484
patient24,972,,0.6138961315155029
patient25,972,,0.6624002456665039
patient26,972,,0.6319420337677002
patient27,972,,0.6402590274810791
patient28,972,,0.6220617294311523
patient29,972,,0.6428341865539551
patient30,972,,0.5839934349060059
patient31,972,,0.6186230182647705
patient32,972,,0.5491044521331787
patient33,972,,0.5613913536071777
patient34,972,,0.5947728157043457
patient35,972,,0.6732993125915527
patient36,972,,0.6072843074798584
patient37,972,,0.5896260738372803
patient38,972,,0.6466958522796631
patient39,972,,0.9481377601623535
patient40,972,,0.9609670639038086
patient41,972,,0.9977378845214844
patient42,972,,0.5951409339904785
patient43,972,,0.6250030994415283
patient44,972,,0.6694247722625732
patient45,972,,0.6506717205047607
patient46,972,,0.7440721988677979
patient47,972,,0.6722915172576904
patient48,972,,0.6359035968780518
