patient,mode,level,po_acc,gm_acc,delta
patient1,noise,0.0,0.7948717948717948,0.8461538461538461,0.0512820512820513
patient1,noise,0.5,0.9230769230769232,0.811965811965812,-0.1111111111111111
patient1,noise,1.0,0.8034188034188035,0.6666666666666666,-0.1367521367521368
patient1,noise,2.0,0.6923076923076923,0.5897435897435898,-0.1025641025641025
patient1,drop,full,0.7948717948717948,0.8461538461538461,0.0512820512820513
patient1,drop,drop_0,0.452991452991453,0.5384615384615384,0.0854700854700854
patient1,drop,drop_1,0.6666666666666666,0.6923076923076923,0.0256410256410256
patient1,drop,drop_2,0.6666666666666666,0.6666666666666666,0.0
patient2,noise,0.0,0.7777777777777778,0.7863247863247863,0.008547008547008517
patient2,noise,0.5,0.8461538461538461,0.6752136752136753,-0.1709401709401709
patient2,noise,1.0,0.7606837606837606,0.6666666666666666,-0.09401709401709402
patient2,noise,2.0,0.7435897435897436,0.6666666666666666,-0.07692307692307698
patient2,drop,full,0.7777777777777778,0.7863247863247863,0.008547008547008517
patient2,drop,drop_0,0.4017094017094017,0.452991452991453,0.051282051282051266
patient2,drop,drop_1,0.6666666666666666,0.6666666666666666,0.0
patient2,drop,drop_2,0.6666666666666666,0.6666666666666666,0.0
patient3,noise,0.0,0.6495726495726496,0.7692307692307693,0.11965811965811968
patient3,noise,0.5,0.8376068376068376,0.7948717948717948,-0.042735042735042805
patient3,noise,1.0,0.7521367521367521,0.7008547008547008,-0.05128205128205132
patient3,noise,2.0,0.7264957264957265,0.6495726495726496,-0.07692307692307687
patient3,drop,full,0.6495726495726496,0.7692307692307693,0.11965811965811968
patient3,drop,drop_0,0.3162393162393162,0.5213675213675214,0.20512820512820518
patient3,drop,drop_1,0.6666666666666666,0.6410256410256411,-0.02564102564102555
patient3,drop,drop_2,0.6666666666666666,0.7008547008547008,0.03418803418803418
patient4,noise,0.0,0.905982905982906,0.9487179487179487,0.042735042735042694
patient4,noise,0.5,0.9829059829059829,0.9487179487179487,-0.03418803418803418
patient4,noise,1.0,0.9572649572649573,0.7350427350427351,-0.2222222222222222
patient4,noise,2.0,0.8632478632478633,0.7692307692307693,-0.09401709401709402
patient4,drop,full,0.905982905982906,0.9487179487179487,0.042735042735042694
patient4,drop,drop_0,0.5641025641025641,0.6410256410256411,0.07692307692307698
patient4,drop,drop_1,0.6666666666666666,0.6666666666666666,0.0
patient4,drop,drop_2,0.6666666666666666,0.6495726495726496,-0.017094017094017033
patient5,noise,0.0,0.8547008547008547,0.8290598290598291,-0.02564102564102555
patient5,noise,0.5,0.9743589743589743,0.6837606837606838,-0.29059829059829057
patient5,noise,1.0,0.9658119658119658,0.6837606837606838,-0.28205128205128205
patient5,noise,2.0,0.6666666666666666,0.7521367521367521,0.0854700854700855
patient5,drop,full,0.8547008547008547,0.8290598290598291,-0.02564102564102555
patient5,drop,drop_0,0.5555555555555556,0.5042735042735043,-0.05128205128205132
patient5,drop,drop_1,0.6666666666666666,0.7008547008547008,0.03418803418803418
patient5,drop,drop_2,0.6666666666666666,0.6666666666666666,0.0
patient6,noise,0.0,0.6410256410256411,0.8803418803418803,0.23931623931623924
patient6,noise,0.5,0.6666666666666666,0.7948717948717948,0.1282051282051282
patient6,noise,1.0,0.6923076923076923,0.7606837606837606,0.06837606837606836
patient6,noise,2.0,0.6752136752136753,0.717948717948718,0.042735042735042694
patient6,drop,full,0.6410256410256411,0.8803418803418803,0.23931623931623924
patient6,drop,drop_0,0.3162393162393162,0.5641025641025641,0.24786324786324787
patient6,drop,drop_1,0.6666666666666666,0.7094017094017094,0.042735042735042805
patient6,drop,drop_2,0.6666666666666666,0.8717948717948718,0.20512820512820518
patient7,noise,0.0,0.9829059829059829,0.9145299145299145,-0.06837606837606836
patient7,noise,0.5,0.9914529914529915,0.8632478632478633,-0.1282051282051282
patient7,noise,1.0,0.8376068376068376,0.717948717948718,-0.11965811965811968
patient7,noise,2.0,0.9145299145299145,0.6153846153846154,-0.2991452991452991
patient7,drop,full,0.9829059829059829,0.9145299145299145,-0.06837606837606836
patient7,drop,drop_0,0.6495726495726496,0.7521367521367521,0.10256410256410253
patient7,drop,drop_1,0.6666666666666666,0.6581196581196581,-0.008547008547008517
patient7,drop,drop_2,0.6495726495726496,0.7264957264957265,0.07692307692307687
patient8,noise,0.0,0.9658119658119658,0.9487179487179487,-0.017094017094017144
patient8,noise,0.5,0.9914529914529915,0.9743589743589743,-0.017094017094017144
patient8,noise,1.0,0.9743589743589743,0.6666666666666666,-0.3076923076923077
patient8,noise,2.0,1.0,0.10256410256410256,-0.8974358974358975
patient8,drop,full,0.9658119658119658,0.9487179487179487,-0.017094017094017144
patient8,drop,drop_0,0.6324786324786325,0.6068376068376068,-0.02564102564102566
patient8,drop,drop_1,0.6666666666666666,0.6923076923076923,0.02564102564102566
patient8,drop,drop_2,0.6666666666666666,0.6666666666666666,0.0
patient9,noise,0.0,0.8290598290598291,0.8376068376068376,0.008547008547008517
patient9,noise,0.5,0.8632478632478633,0.8803418803418803,0.017094017094017033
patient9,noise,1.0,0.8717948717948718,0.8632478632478633,-0.008547008547008517
patient9,noise,2.0,0.7692307692307693,0.717948717948718,-0.05128205128205132
patient9,drop,full,0.8290598290598291,0.8376068376068376,0.008547008547008517
patient9,drop,drop_0,0.46153846153846156,0.5042735042735043,0.042735042735042694
patient9,drop,drop_1,0.6666666666666666,0.7094017094017094,0.042735042735042805
patient9,drop,drop_2,0.6666666666666666,0.6666666666666666,0.0
patient10,noise,0.0,0.7435897435897436,0.6923076923076923,-0.05128205128205132
patient10,noise,0.5,0.9145299145299145,0.6495726495726496,-0.2649572649572649
patient10,noise,1.0,0.8034188034188035,0.5384615384615384,-0.264957264957265
patient10,noise,2.0,0.8461538461538461,0.5042735042735043,-0.3418803418803419
patient10,drop,full,0.7435897435897436,0.6923076923076923,-0.05128205128205132
patient10,drop,drop_0,0.4017094017094017,0.38461538461538464,-0.01709401709401709
