patient,capacity,arm,test_acc,train_acc,n_params,n_train_effective,params_per_train,fit_time_s
patient1,LDA_16,cal_only,0.7692307692307693,0.9791666666666666,51,432,0.11805555555555555,0.012131929397583008
patient1,LDA_16,gm_plus_cal,0.8034188034188035,0.6246315915246137,51,143200,0.00035614525139664806,0.24582982063293457
patient1,HGB_370,cal_only,0.7948717948717948,1.0,2200,432,5.092592592592593,0.8283262252807617
patient1,HGB_370,gm_plus_cal,0.905982905982906,0.9959674207423929,37500,100432,0.37338696829695717,20.815958976745605
patient1,MLP_small,cal_only,0.6666666666666666,0.9143518518518519,128259,432,296.8958333333333,0.07157206535339355
patient1,MLP_small,gm_plus_cal,0.905982905982906,0.9948124103871276,128259,143200,0.895663407821229,27.758116006851196
patient1,MLP_big,cal_only,0.8461538461538461,1.0,1069315,432,2475.266203703704,1.9184303283691406
patient1,MLP_big,gm_plus_cal,0.905982905982906,0.9997510753544687,1069315,143200,7.467283519553073,591.1791622638702
patient2,LDA_16,cal_only,0.8547008547008547,0.9837962962962963,51,432,0.11805555555555555,0.009055137634277344
patient2,LDA_16,gm_plus_cal,0.7692307692307693,0.5758423610004779,51,143200,0.00035614525139664806,0.1553189754486084
patient2,HGB_370,cal_only,0.717948717948718,1.0,1904,432,4.407407407407407,0.5803182125091553
patient2,HGB_370,gm_plus_cal,0.6923076923076923,0.996763979608093,37500,100432,0.37338696829695717,19.628172636032104
patient2,MLP_small,cal_only,0.6752136752136753,0.9652777777777778,128259,432,296.8958333333333,0.0857081413269043
patient2,MLP_small,gm_plus_cal,0.9401709401709402,0.9893958101003664,128259,143200,0.895663407821229,16.642192840576172
patient2,MLP_big,cal_only,0.8888888888888888,1.0,1069315,432,2475.266203703704,1.807633876800537
patient2,MLP_big,gm_plus_cal,0.9572649572649573,0.9973912697148319,1069315,143200,7.467283519553073,649.0303189754486
patient3,LDA_16,cal_only,0.9401709401709402,0.9722222222222222,51,432,0.11805555555555555,0.017056941986083984
patient3,LDA_16,gm_plus_cal,0.8888888888888888,0.6045284371515055,51,143200,0.00035614525139664806,0.26247501373291016
patient3,HGB_370,cal_only,0.9230769230769231,1.0,1090,432,2.5231481481481484,2.2712960243225098
patient3,HGB_370,gm_plus_cal,0.9401709401709402,0.9962661303170304,37500,100432,0.37338696829695717,81.58864712715149
patient3,MLP_small,cal_only,0.9487179487179487,0.9907407407407407,128259,432,296.8958333333333,0.05979800224304199
patient3,MLP_small,gm_plus_cal,0.9401709401709402,0.9939162816632149,128259,143200,0.895663407821229,41.74360918998718
patient3,MLP_big,cal_only,0.9743589743589743,1.0,1069315,432,2475.266203703704,1.988487958908081
patient3,MLP_big,gm_plus_cal,0.9401709401709402,0.9990441293611598,1069315,143200,7.467283519553073,665.0584719181061
patient4,LDA_16,cal_only,0.9743589743589743,0.9953703703703703,51,432,0.11805555555555555,0.00993204116821289
patient4,LDA_16,gm_plus_cal,0.5641025641025641,0.6171439381870321,51,143200,0.00035614525139664806,0.16968417167663574
patient4,HGB_370,cal_only,0.9914529914529915,1.0,1646,432,3.810185185185185,3.0749361515045166
patient4,HGB_370,gm_plus_cal,0.9743589743589743,0.9961366895013541,37500,100432,0.37338696829695717,90.25816178321838
patient4,MLP_small,cal_only,0.8803418803418803,0.9930555555555556,128259,432,296.8958333333333,0.06596684455871582
patient4,MLP_small,gm_plus_cal,0.9572649572649573,0.994155249322925,128259,143200,0.895663407821229,49.02177715301514
patient4,MLP_big,cal_only,0.9829059829059829,1.0,1069315,432,2475.266203703704,2.0706539154052734
patient4,MLP_big,gm_plus_cal,0.9658119658119658,0.998815118687271,1069315,143200,7.467283519553073,12082.46230506897
patient5,LDA_16,cal_only,0.7435897435897436,0.9282407407407407,51,432,0.11805555555555555,0.016857147216796875
patient5,LDA_16,gm_plus_cal,0.5555555555555556,0.6427035207901864,51,143200,0.00035614525139664806,0.16481280326843262
patient5,HGB_370,cal_only,0.7350427350427351,1.0,2510,432,5.810185185185185,3.9916322231292725
patient5,HGB_370,gm_plus_cal,0.905982905982906,0.9964553130476342,37500,100432,0.37338696829695717,83.13276815414429
patient5,MLP_small,cal_only,0.9145299145299145,0.9953703703703703,128259,432,296.8958333333333,0.09482622146606445
patient5,MLP_small,gm_plus_cal,0.8461538461538461,0.989614863788434,128259,143200,0.895663407821229,27.22921919822693
patient5,MLP_big,cal_only,0.8803418803418803,1.0,1069315,432,2475.266203703704,2.0150089263916016
patient5,MLP_big,gm_plus_cal,0.8632478632478633,0.9994324518081886,1069315,143200,7.467283519553073,616.5258119106293
