target,n_donors,chronic_donors_impaired_acc,chronic_donors_healthy_acc
patient2,24,0.8547008547008547,0.6324786324786325
patient3,24,0.5982905982905983,0.5982905982905983
patient6,24,0.3076923076923077,0.4188034188034188
patient8,24,0.8803418803418803,0.717948717948718
patient9,24,0.49572649572649574,0.7350427350427351
patient10,24,0.6068376068376068,0.6324786324786325
patient11,24,0.36752136752136755,0.6153846153846154
patient13,24,0.9316239316239316,0.8205128205128205
patient18,24,0.717948717948718,0.9401709401709402
patient21,24,0.9401709401709402,0.6153846153846154
patient23,24,0.7863247863247863,0.7094017094017094
patient24,24,0.6153846153846154,0.6581196581196581
patient28,24,0.8888888888888888,0.905982905982906
patient30,24,0.905982905982906,0.9487179487179487
patient32,24,0.8290598290598291,0.6239316239316239
patient34,24,0.9401709401709402,0.9316239316239316
patient35,24,0.717948717948718,0.7264957264957265
patient36,24,0.5555555555555556,0.7008547008547008
patient37,24,0.7606837606837606,0.6666666666666666
patient39,24,0.7606837606837606,0.6666666666666666
patient42,24,0.7350427350427351,0.6410256410256411
patient43,24,0.6068376068376068,0.9401709401709402
patient45,24,0.8034188034188035,0.6324786324786325
patient47,24,0.6153846153846154,0.5726495726495726
patient48,24,0.5726495726495726,0.6153846153846154
