target,A_imp_baseline,A_hlth_baseline,B_imp_heavy,B_hlth_heavy,C_imp_ensemble,C_hlth_ensemble,D_imp_heavy_ensemble,D_hlth_heavy_ensemble
patient2,0.8461538461538461,0.7350427350427351,0.811965811965812,0.7777777777777778,0.8461538461538461,0.7350427350427351,0.811965811965812,0.7777777777777778
patient3,0.6495726495726496,0.6324786324786325,0.6495726495726496,0.6495726495726496,0.6495726495726496,0.6324786324786325,0.6495726495726496,0.6495726495726496
patient6,0.2905982905982906,0.49572649572649574,0.2905982905982906,0.49572649572649574,0.2905982905982906,0.49572649572649574,0.2905982905982906,0.49572649572649574
patient8,0.8547008547008547,0.8547008547008547,0.8376068376068376,0.8803418803418803,0.8547008547008547,0.8547008547008547,0.8376068376068376,0.8803418803418803
patient9,0.8803418803418803,0.7692307692307693,0.8632478632478633,0.7777777777777778,0.8803418803418803,0.7692307692307693,0.8632478632478633,0.7777777777777778
patient10,0.5811965811965812,0.6068376068376068,0.5897435897435898,0.6068376068376068,0.5811965811965812,0.6068376068376068,0.5897435897435898,0.6068376068376068
patient11,0.6239316239316239,0.5726495726495726,0.6153846153846154,0.5726495726495726,0.6239316239316239,0.5726495726495726,0.6153846153846154,0.5726495726495726
patient13,0.8547008547008547,0.6495726495726496,0.8461538461538461,0.6495726495726496,0.8547008547008547,0.6495726495726496,0.8461538461538461,0.6495726495726496
patient18,0.9658119658119658,0.9743589743589743,0.9658119658119658,0.9743589743589743,0.9658119658119658,0.9743589743589743,0.9658119658119658,0.9743589743589743
patient21,0.905982905982906,0.8376068376068376,0.8803418803418803,0.8205128205128205,0.905982905982906,0.8376068376068376,0.8803418803418803,0.8205128205128205
patient23,0.6153846153846154,0.7863247863247863,0.6068376068376068,0.8034188034188035,0.6153846153846154,0.7863247863247863,0.6068376068376068,0.8034188034188035
patient24,0.6324786324786325,0.5897435897435898,0.6324786324786325,0.5982905982905983,0.6324786324786325,0.5897435897435898,0.6324786324786325,0.5982905982905983
patient28,0.8717948717948718,0.8803418803418803,0.8717948717948718,0.8803418803418803,0.8717948717948718,0.8803418803418803,0.8717948717948718,0.8803418803418803
patient30,0.7948717948717948,0.9230769230769231,0.7948717948717948,0.9145299145299145,0.7948717948717948,0.9230769230769231,0.7948717948717948,0.9145299145299145
patient32,0.6581196581196581,0.5982905982905983,0.6581196581196581,0.5897435897435898,0.6581196581196581,0.5982905982905983,0.6581196581196581,0.5897435897435898
patient34,0.8461538461538461,0.8632478632478633,0.8461538461538461,0.8974358974358975,0.8461538461538461,0.8632478632478633,0.8461538461538461,0.8974358974358975
patient35,0.6923076923076923,0.7094017094017094,0.7008547008547008,0.7008547008547008,0.6923076923076923,0.7094017094017094,0.7008547008547008,0.7008547008547008
patient36,0.7863247863247863,0.7948717948717948,0.7863247863247863,0.7777777777777778,0.7863247863247863,0.7948717948717948,0.7863247863247863,0.7777777777777778
patient37,0.6581196581196581,0.5555555555555556,0.6581196581196581,0.5982905982905983,0.6581196581196581,0.5555555555555556,0.6581196581196581,0.5982905982905983
patient39,0.717948717948718,0.6752136752136753,0.6923076923076923,0.6837606837606838,0.717948717948718,0.6752136752136753,0.6923076923076923,0.6837606837606838
patient42,0.7435897435897436,0.5982905982905983,0.7777777777777778,0.6068376068376068,0.7435897435897436,0.5982905982905983,0.7777777777777778,0.6068376068376068
patient43,0.5982905982905983,0.5213675213675214,0.5982905982905983,0.5213675213675214,0.5982905982905983,0.5213675213675214,0.5982905982905983,0.5213675213675214
patient45,0.6153846153846154,0.6752136752136753,0.6068376068376068,0.6837606837606838,0.6153846153846154,0.6752136752136753,0.6068376068376068,0.6837606837606838
patient47,0.7264957264957265,0.5726495726495726,0.6923076923076923,0.5384615384615384,0.7264957264957265,0.5726495726495726,0.6923076923076923,0.5384615384615384
patient48,0.7264957264957265,0.8290598290598291,0.717948717948718,0.8461538461538461,0.7264957264957265,0.8290598290598291,0.717948717948718,0.8461538461538461
