patient,po_within_01,po_within_02,gm_within_01,gm_within_02,po_cross_01to02,po_cross_02to01,gm_cross_01to02,gm_cross_02to01
patient1,0.7948717948717948,0.9658119658119658,0.8461538461538461,1.0,0.7863247863247863,0.8547008547008547,0.8803418803418803,0.7777777777777778
patient2,0.8034188034188035,0.6324786324786325,0.7863247863247863,0.6239316239316239,0.4188034188034188,0.717948717948718,0.6239316239316239,0.4273504273504273
patient3,0.6495726495726496,0.8974358974358975,0.7606837606837606,0.811965811965812,0.6666666666666666,0.6581196581196581,0.5641025641025641,0.6495726495726496
patient4,0.905982905982906,0.9572649572649573,0.9658119658119658,1.0,0.9230769230769231,0.7008547008547008,0.6324786324786325,0.46153846153846156
patient5,0.8547008547008547,0.9572649572649573,0.8376068376068376,0.7606837606837606,0.6153846153846154,0.3504273504273504,0.5897435897435898,0.27350427350427353
patient6,0.6410256410256411,0.7863247863247863,0.8803418803418803,0.8888888888888888,0.6837606837606838,0.7350427350427351,0.905982905982906,0.8290598290598291
patient7,0.9743589743589743,0.8205128205128205,0.905982905982906,0.8461538461538461,0.8205128205128205,0.8205128205128205,0.7948717948717948,0.8803418803418803
patient8,0.9658119658119658,0.7948717948717948,0.9487179487179487,0.905982905982906,0.7863247863247863,0.9316239316239316,0.6923076923076923,0.905982905982906
patient9,0.8290598290598291,0.9572649572649573,0.8461538461538461,0.8461538461538461,0.6752136752136753,0.6410256410256411,0.6410256410256411,0.7521367521367521
patient10,0.7350427350427351,0.7948717948717948,0.6752136752136753,0.6752136752136753,0.6666666666666666,0.8376068376068376,0.6495726495726496,0.7094017094017094
patient11,0.7777777777777778,0.8974358974358975,0.6837606837606838,0.9658119658119658,0.5726495726495726,0.9914529914529915,0.6837606837606838,0.4700854700854701
patient12,0.9829059829059829,0.8717948717948718,0.9914529914529915,0.717948717948718,0.5384615384615384,0.811965811965812,0.717948717948718,0.6752136752136753
patient13,0.9658119658119658,0.9230769230769231,1.0,0.9401709401709402,0.2564102564102564,0.3076923076923077,0.20512820512820512,0.5213675213675214
patient14,0.5555555555555556,0.8205128205128205,0.7008547008547008,0.8205128205128205,0.3504273504273504,0.6153846153846154,0.5299145299145299,0.5213675213675214
patient16,0.9914529914529915,0.9914529914529915,0.9316239316239316,1.0,1.0,0.9914529914529915,0.905982905982906,0.9487179487179487
patient17,0.9743589743589743,0.8461538461538461,0.9829059829059829,0.7948717948717948,0.9145299145299145,0.8290598290598291,0.9230769230769231,0.7094017094017094
patient18,0.8461538461538461,0.8461538461538461,0.8034188034188035,0.8803418803418803,0.5982905982905983,0.3333333333333333,0.7008547008547008,0.3333333333333333
patient19,0.9658119658119658,0.7094017094017094,0.905982905982906,0.7008547008547008,0.4700854700854701,0.6666666666666666,0.48717948717948717,0.7094017094017094
patient20,0.8803418803418803,0.7948717948717948,0.9829059829059829,0.7264957264957265,0.7264957264957265,0.717948717948718,0.7606837606837606,0.8034188034188035
patient21,0.9658119658119658,0.8376068376068376,0.9572649572649573,0.7777777777777778,0.6239316239316239,0.7606837606837606,0.6837606837606838,0.7435897435897436
patient22,0.8461538461538461,0.9572649572649573,1.0,0.9743589743589743,0.9914529914529915,0.7692307692307693,0.9316239316239316,0.9487179487179487
patient23,0.9230769230769231,0.7094017094017094,0.9145299145299145,0.7777777777777778,0.6923076923076923,0.905982905982906,0.905982905982906,0.8547008547008547
patient24,0.8803418803418803,0.717948717948718,0.8632478632478633,0.7094017094017094,0.3333333333333333,0.5299145299145299,0.3333333333333333,0.3162393162393162
patient25,0.6923076923076923,0.8632478632478633,0.7264957264957265,0.7777777777777778,0.7777777777777778,0.717948717948718,0.7350427350427351,0.7606837606837606
patient26,0.9230769230769231,0.6239316239316239,0.9401709401709402,0.7008547008547008,0.3247863247863248,0.7008547008547008,0.7008547008547008,0.6239316239316239
patient27,0.9914529914529915,0.9145299145299145,0.9829059829059829,0.905982905982906,0.8547008547008547,0.9230769230769231,0.8717948717948718,0.7008547008547008
patient28,0.9914529914529915,0.9145299145299145,1.0,0.9829059829059829,0.6581196581196581,0.8376068376068376,0.9572649572649573,0.7521367521367521
patient29,0.9572649572649573,0.8376068376068376,0.9658119658119658,0.9658119658119658,0.8376068376068376,0.9145299145299145,0.9572649572649573,0.9145299145299145
patient30,0.9658119658119658,0.8888888888888888,0.9658119658119658,0.8547008547008547,0.8034188034188035,0.6923076923076923,0.7008547008547008,0.7692307692307693
patient31,0.8717948717948718,0.7350427350427351,0.8632478632478633,0.7521367521367521,0.7435897435897436,0.6666666666666666,0.7606837606837606,0.6324786324786325
patient32,0.7692307692307693,0.9572649572649573,0.7350427350427351,0.9145299145299145,0.8290598290598291,0.6666666666666666,0.8376068376068376,0.6666666666666666
patient33,0.9487179487179487,0.7521367521367521,0.8461538461538461,0.7094017094017094,0.7948717948717948,0.7606837606837606,0.811965811965812,0.6581196581196581
patient34,0.8803418803418803,0.8290598290598291,0.905982905982906,0.8376068376068376,0.8290598290598291,0.9230769230769231,0.8632478632478633,0.8803418803418803
patient35,0.6581196581196581,0.8547008547008547,0.7094017094017094,0.8034188034188035,0.7948717948717948,0.358974358974359,0.8461538461538461,0.3418803418803419
patient36,0.9743589743589743,0.9572649572649573,0.9401709401709402,0.9572649572649573,0.8803418803418803,0.7264957264957265,0.5042735042735043,0.7435897435897436
patient37,1.0,0.9829059829059829,1.0,0.9829059829059829,0.9145299145299145,0.6923076923076923,0.7948717948717948,0.5811965811965812
patient38,0.9829059829059829,0.9914529914529915,0.8034188034188035,0.9230769230769231,0.9829059829059829,0.9658119658119658,0.9316239316239316,0.49572649572649574
patient39,0.8717948717948718,0.905982905982906,0.8888888888888888,0.811965811965812,0.8376068376068376,0.9487179487179487,0.8547008547008547,0.811965811965812
patient40,0.9316239316239316,0.8974358974358975,0.9572649572649573,0.9572649572649573,0.9658119658119658,0.8717948717948718,0.9572649572649573,0.905982905982906
patient41,0.5384615384615384,0.5299145299145299,0.6495726495726496,0.6666666666666666,0.6068376068376068,0.6068376068376068,0.6752136752136753,0.5811965811965812
patient42,0.9401709401709402,0.9914529914529915,0.905982905982906,0.9572649572649573,0.6752136752136753,0.6153846153846154,0.7606837606837606,0.8717948717948718
patient43,0.9487179487179487,0.9829059829059829,0.9743589743589743,1.0,0.9743589743589743,0.6666666666666666,0.6837606837606838,0.6581196581196581
patient44,0.9316239316239316,1.0,0.9230769230769231,0.8803418803418803,0.9401709401709402,0.9572649572649573,0.9145299145299145,0.7521367521367521
patient45,0.9230769230769231,0.8547008547008547,0.8290598290598291,0.7777777777777778,0.7863247863247863,0.8632478632478633,0.717948717948718,0.8376068376068376
patient46,0.9316239316239316,0.8632478632478633,0.8632478632478633,0.7777777777777778,0.8974358974358975,0.9487179487179487,0.7863247863247863,0.8717948717948718
patient47,0.9743589743589743,0.9401709401709402,0.9829059829059829,0.9572649572649573,0.5897435897435898,0.7264957264957265,0.6239316239316239,0.5811965811965812
