feature,f_stat_mean,f_stat_median,variance_mean,n_sessions,family,expected
ch9_env_rms,234.20339691663432,196.54009712294928,0.05035210909349886,57,rms,amplitude
ch9_env_mean,234.03435743697185,195.98065227685382,0.050082108872398785,57,mean,other
ch9_env_max,230.65594623556663,193.63205556303132,0.05893613117264072,57,max,other
ch9_mav,223.46732401020944,189.58912273325825,0.05159093346343289,57,mav,amplitude
ch9_iemg,223.46732401020944,189.58912273325825,0.8254549354149262,57,iemg,amplitude
ch9_rms,218.75280982036998,187.04996125225185,0.05409438839508582,57,rms,amplitude
ch9_maxamp,183.80790263684867,152.1758321377851,0.08911916301127859,57,maxamp,amplitude
ch0_env_mean,179.5344173824389,171.273201709892,0.059599220439580984,57,mean,other
ch0_env_rms,178.8244878549158,171.02982167235828,0.06103905114183964,57,rms,amplitude
ch0_env_max,173.80811910603006,164.96090838017142,0.07683268915695457,57,max,other
ch0_iemg,171.67746149805913,164.0316079476414,1.00374343725438,57,iemg,amplitude
ch0_mav,171.67746149805913,164.0316079476414,0.06273396482839876,57,mav,amplitude
ch4_env_mean,166.49992240054982,166.49994648744072,0.04981213960162019,57,mean,other
ch0_rms,166.40133966736352,164.66215219698182,0.0728915481245969,57,rms,amplitude
ch4_env_rms,166.0880290792781,164.70246638361718,0.05077006015576941,57,rms,amplitude
ch13_env_mean,162.37132244469058,155.94685873283862,0.057319841257610055,57,mean,other
ch4_env_max,162.2618289649991,156.7818867194929,0.06278792506525618,57,max,other
ch13_env_rms,161.91886645465553,155.77502110081483,0.05795970896455654,57,rms,amplitude
ch4_mav,159.91496186591618,160.67267260620983,0.05209485333387174,57,mav,amplitude
ch4_iemg,159.91496186591618,160.67267260620983,0.8335176533419478,57,iemg,amplitude
ch13_env_max,157.42426795677324,158.03773194220696,0.07040397803065704,57,max,other
ch4_rms,155.9985586227896,154.39467016649314,0.05906387365189943,57,rms,amplitude
ch13_iemg,155.55167286339193,150.0448354769796,0.9515358996499409,57,iemg,amplitude
ch13_mav,155.55167286339193,150.0448354769796,0.059470993728121306,57,mav,amplitude
ch13_rms,150.51492098389434,149.8066561625009,0.064966623040345,57,rms,amplitude
ch0_maxamp,142.95502007513102,134.95436139032978,0.14763880072674498,57,maxamp,amplitude
ch4_maxamp,135.74423855601788,134.27856772496997,0.11334308231561827,57,maxamp,amplitude
ch13_maxamp,127.57662718903136,130.06531536424976,0.11946778248804218,57,maxamp,amplitude
ch9_wl,55.03086881520707,51.21634078160392,0.08306511305887783,57,wl,amplitude
ch4_wl,51.92784744808269,47.83252138573745,0.13575705359424375,57,wl,amplitude
ch9_env_std,49.27068586454533,48.536823205315336,0.000626933823362296,57,std,other
ch0_wl,48.57659915322771,46.381010108889264,0.18474390369846147,57,wl,amplitude
ch4_env_std,46.704740178869194,46.85781524697497,0.00143638853370044,57,std,other
ch13_wl,44.58991320142214,43.97594857115357,0.13669289689650324,57,wl,amplitude
ch13_env_std,41.860919888740426,44.525166295535804,0.001114304656915371,57,std,other
ch0_env_std,41.59360880133167,40.76095651136105,0.002017405691446012,57,std,other
ch4_var,21.69538551243397,15.94088152537743,0.1395920967036081,57,var,amplitude
ch9_var,21.381810434650863,20.065403233346576,0.0007484121543663464,57,var,amplitude
ch0_var,20.21970053835148,15.627531239540623,0.1339105752265761,57,var,amplitude
ch13_mean_freq,18.432343439379185,7.246854641160074,0.0692269407517761,57,freq,other
ch13_var,16.305850770966806,13.554756381186554,0.026571912512182792,57,var,amplitude
ch9_mean_freq,16.252706883037657,5.353860245933129,0.05987053633332046,57,freq,other
ch0_mean_freq,16.20467359025693,6.5826385036857475,0.06496904806873259,57,freq,other
ch4_mean_freq,10.928219561295201,8.373300051966494,0.0637177887582438,57,freq,other
ch13_median_freq,8.441279921378584,0.19987146529562974,0.10563159865201026,57,freq,other
ch9_wamp,4.565371103063019,2.8999399735337876,0.09051691683551781,57,wamp,degenerate
ch4_wamp,3.671748655027313,2.615696119031042,0.0902169216735681,57,wamp,degenerate
ch0_wamp,3.192195846622745,1.5885039626719735,0.09210822686418728,57,wamp,degenerate
ch13_wamp,3.18484558338044,1.6581521053295756,0.08826742370939401,57,wamp,degenerate
ch9_median_freq,3.1594369530663853,0.0998074454428753,0.07097425756754366,57,freq,other
ch9_ssc,2.832631535492624,2.411261587868642,0.4319330181551842,57,ssc,degenerate
ch0_ssc,2.7804046891478706,2.0016266717699502,0.4366471734892788,57,ssc,degenerate
ch13_ssc,2.528697284997531,2.059851961301892,0.4338590267444856,57,ssc,degenerate
ch4_ssc,2.512707087162374,1.2102930158994423,0.43451302460805385,57,ssc,degenerate
ch0_median_freq,1.6029257522929286,0.09980744544287536,0.08314998404404611,57,freq,other
ch4_median_freq,1.163746313838632,0.0,0.0778123089610944,57,freq,other
ch4_zc,0.0,0.0,0.0,57,zc,degenerate
ch0_zc,0.0,0.0,0.0,57,zc,degenerate
ch13_zc,0.0,0.0,0.0,57,zc,degenerate
ch9_zc,0.0,0.0,0.0,57,zc,degenerate
