target_patient,n_donors,n_train,n_test,others_healthy_arms_acc
patient1,47,432,117,0.7008547008547008
patient2,47,432,117,0.6923076923076923
patient3,47,432,117,0.6068376068376068
patient4,47,432,117,0.7606837606837606
patient5,47,432,117,0.5299145299145299
patient6,47,432,117,0.2905982905982906
patient7,47,432,117,0.905982905982906
patient8,47,432,117,0.6581196581196581
patient9,47,432,117,0.6581196581196581
patient10,47,432,117,0.5897435897435898
patient11,47,432,117,0.48717948717948717
patient12,47,432,117,0.8888888888888888
patient13,47,432,117,0.7948717948717948
patient14,47,432,117,0.8034188034188035
patient15,47,432,117,0.8547008547008547
patient16,47,432,117,0.5811965811965812
patient17,47,432,117,0.7948717948717948
patient18,47,432,117,0.9658119658119658
patient19,47,432,117,0.7350427350427351
patient20,47,432,117,0.6495726495726496
patient21,47,432,117,0.8461538461538461
patient22,47,432,117,0.8632478632478633
patient23,47,432,117,0.7350427350427351
patient24,47,432,117,0.6068376068376068
patient25,47,432,117,0.8888888888888888
patient26,47,432,117,0.6923076923076923
patient27,47,432,117,0.9145299145299145
patient28,47,432,117,0.8717948717948718
patient29,47,432,117,0.9487179487179487
patient30,47,432,117,0.6923076923076923
patient31,47,432,117,0.5470085470085471
patient32,47,432,117,0.6837606837606838
patient33,47,432,117,0.7692307692307693
patient34,47,432,117,0.9658119658119658
patient35,47,432,117,0.7094017094017094
patient36,47,432,117,0.7264957264957265
patient37,47,432,117,0.6666666666666666
patient38,47,432,117,0.6239316239316239
patient39,47,432,117,0.811965811965812
patient40,47,432,117,0.8974358974358975
patient41,47,432,117,0.8290598290598291
patient42,47,432,117,0.8632478632478633
patient43,47,432,117,0.8632478632478633
patient44,47,432,117,0.7008547008547008
patient45,47,432,117,0.6581196581196581
patient46,47,432,117,0.8547008547008547
patient47,47,432,117,0.6068376068376068
patient48,47,432,117,0.6837606837606838
