cal_per_gesture,patient,n_cal,n_test,lda_acc,po_hgb_acc,gm_cal_acc
3,patient1,36,117,0.7948717948717948,0.3333333333333333,0.7606837606837606
3,patient2,36,117,0.6837606837606838,0.3333333333333333,0.8717948717948718
3,patient3,36,117,0.9743589743589745,0.3333333333333333,0.7350427350427351
3,patient4,36,117,0.5641025641025641,0.3333333333333333,0.7435897435897436
3,patient5,36,117,0.6153846153846154,0.3333333333333333,0.6153846153846154
3,patient6,36,117,0.7521367521367521,0.3333333333333333,0.8632478632478633
3,patient7,36,117,0.5470085470085471,0.3333333333333333,0.7350427350427351
3,patient8,36,117,0.9401709401709402,0.3333333333333333,0.7521367521367521
3,patient9,36,117,0.9487179487179488,0.3333333333333333,0.8290598290598291
3,patient10,36,117,0.6410256410256411,0.3333333333333333,0.5641025641025641
3,patient11,36,117,0.6581196581196581,0.3333333333333333,0.6410256410256411
3,patient12,36,117,0.8205128205128205,0.3333333333333333,0.6923076923076923
3,patient13,36,117,1.0,0.3333333333333333,0.7606837606837606
3,patient14,36,117,0.4700854700854701,0.3333333333333333,0.5982905982905983
3,patient15,36,117,0.7863247863247863,0.3333333333333333,0.8803418803418803
3,patient16,36,117,0.6153846153846154,0.3333333333333333,0.717948717948718
3,patient17,36,117,0.5982905982905983,0.3333333333333333,0.5726495726495726
3,patient18,36,117,0.717948717948718,0.3333333333333333,0.8290598290598291
3,patient19,36,117,0.48717948717948717,0.3333333333333333,0.8547008547008547
3,patient20,36,117,0.7350427350427351,0.3333333333333333,0.7350427350427351
3,patient21,36,117,0.7948717948717948,0.3333333333333333,0.8632478632478633
3,patient22,36,117,0.5213675213675214,0.3333333333333333,0.905982905982906
3,patient23,36,117,0.7777777777777778,0.3333333333333333,0.7692307692307693
3,patient24,36,117,0.5299145299145299,0.3333333333333333,0.5811965811965812
3,patient25,36,117,0.7863247863247863,0.3333333333333333,0.5726495726495726
3,patient26,36,117,0.6324786324786325,0.3333333333333333,0.6923076923076923
3,patient27,36,117,0.4444444444444444,0.3333333333333333,0.6752136752136753
3,patient28,36,117,0.717948717948718,0.3333333333333333,0.717948717948718
3,patient29,36,117,0.5726495726495726,0.3333333333333333,0.5299145299145299
3,patient30,36,117,0.8803418803418803,0.3333333333333333,0.7863247863247863
3,patient31,36,117,0.4444444444444444,0.3333333333333333,0.7008547008547008
3,patient32,36,117,0.811965811965812,0.3333333333333333,0.6666666666666666
3,patient33,36,117,0.5726495726495726,0.3333333333333333,0.6495726495726496
3,patient34,36,117,0.6752136752136753,0.3333333333333333,0.8205128205128205
3,patient35,36,117,0.5555555555555556,0.3333333333333333,0.5726495726495726
3,patient36,36,117,0.6239316239316239,0.3333333333333333,0.6581196581196581
3,patient37,36,117,0.6068376068376068,0.3333333333333333,0.8803418803418803
3,patient38,36,117,0.6837606837606838,0.3333333333333333,0.5213675213675214
3,patient39,36,117,0.6752136752136753,0.3333333333333333,0.6752136752136753
3,patient40,36,117,0.9316239316239316,0.3333333333333333,0.7435897435897436
3,patient41,36,117,0.46153846153846156,0.3333333333333333,0.5982905982905983
3,patient42,36,117,0.7264957264957265,0.3333333333333333,0.8376068376068376
3,patient43,36,117,0.5555555555555556,0.3333333333333333,0.5726495726495726
3,patient44,36,117,0.7008547008547008,0.3333333333333333,0.7435897435897436
3,patient45,36,117,0.8290598290598291,0.3333333333333333,0.7521367521367521
3,patient46,36,117,0.6410256410256411,0.3333333333333333,0.6068376068376068
3,patient47,36,117,0.8034188034188035,0.3333333333333333,0.7606837606837606
3,patient48,36,117,0.5982905982905983,0.3333333333333333,0.8205128205128205
6,patient1,72,117,0.8205128205128205,0.7606837606837606,0.7863247863247863
6,patient2,72,117,0.7777777777777778,0.8974358974358975,0.8376068376068376
6,patient3,72,117,0.9572649572649573,0.7692307692307693,0.6410256410256411
6,patient4,72,117,0.7863247863247863,0.8547008547008547,0.7606837606837606
6,patient5,72,117,0.717948717948718,0.7094017094017094,0.6495726495726496
6,patient6,72,117,0.8034188034188035,0.6324786324786325,0.8376068376068376
6,patient7,72,117,0.7863247863247863,0.7948717948717948,0.7777777777777778
6,patient8,72,117,0.9230769230769231,0.9914529914529915,0.7948717948717948
6,patient9,72,117,0.9572649572649573,0.8974358974358975,0.9230769230769231
6,patient10,72,117,0.6324786324786325,0.6752136752136753,0.6324786324786325
6,patient11,72,117,0.8461538461538461,0.8205128205128205,0.7863247863247863
6,patient12,72,117,0.9743589743589743,0.9487179487179487,0.8034188034188035
6,patient13,72,117,1.0,0.9145299145299145,0.905982905982906
6,patient14,72,117,0.6495726495726496,0.717948717948718,0.6837606837606838
6,patient15,72,117,0.8974358974358975,0.9487179487179487,0.9743589743589743
6,patient16,72,117,0.6666666666666666,0.9401709401709402,0.7435897435897436
6,patient17,72,117,0.7008547008547008,0.717948717948718,0.6581196581196581
6,patient18,72,117,0.6752136752136753,0.8034188034188035,0.9230769230769231
6,patient19,72,117,0.46153846153846156,0.4700854700854701,0.905982905982906
6,patient20,72,117,0.7350427350427351,0.6239316239316239,0.7094017094017094
6,patient21,72,117,0.811965811965812,0.8547008547008547,0.9230769230769231
6,patient22,72,117,0.5128205128205128,0.8290598290598291,0.9487179487179487
6,patient23,72,117,0.7606837606837606,0.8034188034188035,0.8547008547008547
6,patient24,72,117,0.6324786324786325,0.9316239316239316,0.6068376068376068
6,patient25,72,117,0.7435897435897436,0.5982905982905983,0.6068376068376068
6,patient26,72,117,0.6923076923076923,0.6923076923076923,0.7094017094017094
6,patient27,72,117,0.47863247863247865,0.4358974358974359,0.7692307692307693
6,patient28,72,117,0.8034188034188035,0.8290598290598291,0.8461538461538461
6,patient29,72,117,0.7777777777777778,0.8461538461538461,0.6068376068376068
6,patient30,72,117,0.8547008547008547,0.8974358974358975,0.7777777777777778
6,patient31,72,117,0.4444444444444444,0.6153846153846154,0.7350427350427351
6,patient32,72,117,0.7606837606837606,0.7350427350427351,0.7264957264957265
6,patient33,72,117,0.6837606837606838,0.6752136752136753,0.6581196581196581
6,patient34,72,117,0.7777777777777778,0.8034188034188035,0.8803418803418803
6,patient35,72,117,0.5128205128205128,0.5213675213675214,0.717948717948718
6,patient36,72,117,0.6752136752136753,0.6666666666666666,0.6410256410256411
6,patient37,72,117,0.6666666666666666,0.8974358974358975,0.9487179487179487
6,patient38,72,117,0.7863247863247863,0.6666666666666666,0.6666666666666666
6,patient39,72,117,0.8461538461538461,0.7350427350427351,0.6752136752136753
6,patient40,72,117,0.9487179487179487,0.7606837606837606,0.8205128205128205
6,patient41,72,117,0.7777777777777778,0.6324786324786325,0.811965811965812
6,patient42,72,117,0.7777777777777778,0.9401709401709402,0.9230769230769231
6,patient43,72,117,0.8461538461538461,0.7264957264957265,0.7008547008547008
6,patient44,72,117,0.8376068376068376,0.9572649572649573,0.8205128205128205
6,patient45,72,117,0.8632478632478633,0.8034188034188035,0.8461538461538461
6,patient46,72,117,0.717948717948718,0.7264957264957265,0.8376068376068376
6,patient47,72,117,0.8717948717948718,0.8376068376068376,0.8717948717948718
6,patient48,72,117,0.5726495726495726,0.6581196581196581,0.7008547008547008
12,patient1,144,117,0.8632478632478633,0.8034188034188035,0.8632478632478633
12,patient2,144,117,0.7863247863247863,0.8632478632478633,0.8205128205128205
12,patient3,144,117,0.9401709401709402,0.7948717948717948,0.6837606837606838
12,patient4,144,117,0.9658119658119658,0.905982905982906,0.8461538461538461
12,patient5,144,117,0.7777777777777778,0.6666666666666666,0.7521367521367521
12,patient6,144,117,0.7350427350427351,0.6495726495726496,0.8888888888888888
12,patient7,144,117,0.9572649572649573,0.8717948717948718,0.9145299145299145
12,patient8,144,117,0.9829059829059829,0.9743589743589743,0.9914529914529915
12,patient9,144,117,0.9743589743589743,0.8376068376068376,0.9743589743589743
12,patient10,144,117,0.7094017094017094,0.5811965811965812,0.6837606837606838
12,patient11,144,117,0.7692307692307693,0.8717948717948718,0.7350427350427351
12,patient12,144,117,0.9743589743589743,0.9829059829059829,0.8376068376068376
12,patient13,144,117,1.0,1.0,0.9914529914529915
12,patient14,144,117,0.5982905982905983,0.7435897435897436,0.7264957264957265
12,patient15,144,117,0.9487179487179487,0.9572649572649573,0.9829059829059829
12,patient16,144,117,0.6837606837606838,0.9829059829059829,0.9658119658119658
12,patient17,144,117,0.7435897435897436,0.8888888888888888,0.7521367521367521
12,patient18,144,117,0.6410256410256411,0.7863247863247863,0.7777777777777778
12,patient19,144,117,0.6068376068376068,0.7008547008547008,0.7863247863247863
12,patient20,144,117,0.8888888888888888,0.7435897435897436,0.8376068376068376
12,patient21,144,117,0.8290598290598291,0.8632478632478633,0.8461538461538461
12,patient22,144,117,0.7350427350427351,0.8632478632478633,0.905982905982906
12,patient23,144,117,0.8290598290598291,0.9145299145299145,0.9572649572649573
12,patient24,144,117,0.8376068376068376,0.905982905982906,0.7606837606837606
12,patient25,144,117,0.7008547008547008,0.6923076923076923,0.6495726495726496
