held_out_patient,n_cal_pool,n_test,lopo_po_acc,lopo_gm_acc
patient1,20304,117,0.6581196581196581,0.6666666666666666
patient2,20304,117,0.6666666666666666,0.6239316239316239
patient3,20304,117,0.6923076923076923,0.5982905982905983
patient4,20304,117,0.6495726495726496,0.5726495726495726
patient5,20304,117,0.6666666666666666,0.6581196581196581
patient6,20304,117,0.6410256410256411,0.8290598290598291
patient7,20304,117,0.7777777777777778,0.811965811965812
patient8,20304,117,0.6752136752136753,0.6324786324786325
patient9,20304,117,0.6666666666666666,0.39316239316239315
patient10,20304,117,0.6837606837606838,0.6410256410256411
patient11,20304,117,0.6837606837606838,0.6410256410256411
patient12,20304,117,0.6068376068376068,0.6153846153846154
patient13,20304,117,0.6324786324786325,0.47863247863247865
patient14,20304,117,0.6410256410256411,0.3504273504273504
patient15,20304,117,0.6666666666666666,0.8888888888888888
patient16,20304,117,0.6666666666666666,0.6324786324786325
patient17,20304,117,0.7264957264957265,0.7008547008547008
patient18,20304,117,0.5811965811965812,0.5982905982905983
patient19,20304,117,0.6666666666666666,0.6752136752136753
patient20,20304,117,0.5042735042735043,0.47863247863247865
patient21,20304,117,0.6666666666666666,0.5982905982905983
patient22,20304,117,0.6324786324786325,0.8290598290598291
patient23,20304,117,0.6666666666666666,0.6666666666666666
patient24,20304,117,0.3333333333333333,0.3504273504273504
patient25,20304,117,0.6666666666666666,0.6239316239316239
patient26,20304,117,0.6410256410256411,0.5384615384615384
patient27,20304,117,0.9658119658119658,0.5811965811965812
patient28,20304,117,0.3333333333333333,0.38461538461538464
patient29,20304,117,0.6581196581196581,0.6068376068376068
patient30,20304,117,0.6666666666666666,0.6153846153846154
patient31,20304,117,0.3333333333333333,0.2905982905982906
patient32,20304,117,0.6666666666666666,0.6581196581196581
patient33,20304,117,0.6581196581196581,0.6324786324786325
patient34,20304,117,0.8376068376068376,0.8376068376068376
patient35,20304,117,0.38461538461538464,0.39316239316239315
patient36,20304,117,0.6666666666666666,0.6581196581196581
patient37,20304,117,0.6837606837606838,0.8632478632478633
patient38,20304,117,0.3418803418803419,0.3418803418803419
patient39,20304,117,0.6666666666666666,0.6239316239316239
patient40,20304,117,0.6410256410256411,0.6581196581196581
patient41,20304,117,0.4444444444444444,0.3333333333333333
patient42,20304,117,0.8205128205128205,0.8290598290598291
patient43,20304,117,0.3333333333333333,0.21367521367521367
patient44,20304,117,0.6666666666666666,0.5897435897435898
patient45,20304,117,0.6581196581196581,0.6666666666666666
patient46,20304,117,0.6837606837606838,0.6153846153846154
patient47,20304,117,0.6923076923076923,0.7264957264957265
patient48,20304,117,0.6153846153846154,0.5982905982905983
