held_out_patient,n_target,n_actual_sampled,n_test,vm_lopo_po_acc
patient1,432,432,117,0.7948717948717948
patient2,432,432,117,0.7692307692307693
patient3,432,432,117,0.811965811965812
patient4,432,432,117,0.6837606837606838
patient5,432,432,117,0.6153846153846154
patient6,432,432,117,0.5384615384615384
patient7,432,432,117,0.7692307692307693
patient8,432,432,117,0.8376068376068376
patient9,432,432,117,0.5213675213675214
patient10,432,432,117,0.7606837606837606
patient11,432,432,117,0.8717948717948718
patient12,432,432,117,0.6153846153846154
patient13,432,432,117,0.452991452991453
patient14,432,432,117,0.6581196581196581
patient15,432,432,117,0.5811965811965812
patient16,432,432,117,0.9145299145299145
patient17,432,432,117,0.8717948717948718
patient18,432,432,117,0.5555555555555556
patient19,423,423,117,0.8205128205128205
patient20,432,432,117,0.5811965811965812
patient21,432,432,117,0.9230769230769231
patient22,432,432,117,0.6837606837606838
patient23,432,432,117,0.8717948717948718
patient24,432,432,117,0.3162393162393162
patient25,432,432,117,0.7606837606837606
patient26,432,432,117,0.5128205128205128
patient27,432,432,117,0.8205128205128205
patient28,432,432,117,0.28205128205128205
patient29,432,432,117,0.48717948717948717
patient30,432,432,117,0.905982905982906
patient31,432,432,117,0.6410256410256411
patient32,432,432,117,0.7521367521367521
patient33,432,432,117,0.7606837606837606
patient34,432,432,117,0.8205128205128205
patient35,432,432,117,0.5042735042735043
patient36,432,432,117,0.8632478632478633
patient37,432,432,117,0.9658119658119658
patient38,432,432,117,0.6239316239316239
patient39,432,432,117,0.5213675213675214
patient40,432,432,117,0.6324786324786325
patient41,432,432,117,0.4358974358974359
patient42,432,432,117,0.8376068376068376
patient43,432,432,117,0.19658119658119658
patient44,432,432,117,0.7094017094017094
patient45,432,432,117,0.6666666666666666
patient46,432,432,117,0.8461538461538461
patient47,432,432,117,0.8632478632478633
patient48,432,432,117,0.6153846153846154
