patient,n_test,zero_shot_healthy_acc
patient1,432,0.27546296296296297
patient2,432,0.19675925925925927
patient3,432,0.14583333333333334
patient4,432,0.3263888888888889
patient5,432,0.19212962962962962
patient6,432,0.22453703703703703
patient7,432,0.2569444444444444
patient8,432,0.21296296296296297
patient9,432,0.15046296296296297
patient10,432,0.3101851851851852
patient11,432,0.2800925925925926
patient12,432,0.14583333333333334
patient13,432,0.2152777777777778
patient14,432,0.35648148148148145
patient15,432,0.2662037037037037
patient16,432,0.2662037037037037
patient17,432,0.31712962962962965
patient18,432,0.2222222222222222
patient19,432,0.30092592592592593
patient20,432,0.16898148148148148
patient21,432,0.22916666666666666
patient22,432,0.08564814814814815
patient23,432,0.14351851851851852
patient24,432,0.24074074074074073
patient25,432,0.4166666666666667
patient26,432,0.20833333333333334
patient27,432,0.33796296296296297
patient28,432,0.2777777777777778
patient29,432,0.34953703703703703
patient30,432,0.4212962962962963
patient31,432,0.1412037037037037
patient32,432,0.4930555555555556
patient33,432,0.30324074074074076
patient34,432,0.2037037037037037
patient35,432,0.5625
patient36,432,0.08796296296296297
patient37,432,0.22685185185185186
patient38,432,0.4097222222222222
patient39,432,0.38657407407407407
patient40,432,0.1597222222222222
patient41,432,0.2222222222222222
patient42,432,0.45601851851851855
patient43,432,0.3263888888888889
patient44,432,0.09027777777777778
patient45,432,0.30092592592592593
patient46,432,0.3541666666666667
patient47,432,0.3472222222222222
patient48,432,0.3148148148148148
