held_out_patient,n_pathology,n_anatomy,n_stacked,path_only_acc,anat_only_acc,stacked_acc
patient1,432,432,864,0.7350427350427351,0.6495726495726496,0.7606837606837606
patient2,432,432,864,0.811965811965812,0.5299145299145299,0.7606837606837606
patient3,432,432,864,0.7264957264957265,0.6581196581196581,0.6923076923076923
patient4,432,432,864,0.5726495726495726,0.3333333333333333,0.6752136752136753
patient5,432,432,864,0.8034188034188035,0.6666666666666666,0.7948717948717948
patient6,432,432,864,0.5555555555555556,0.6495726495726496,0.5641025641025641
patient7,432,432,864,0.7863247863247863,0.5555555555555556,0.6324786324786325
patient8,432,432,864,0.8888888888888888,0.5470085470085471,0.8547008547008547
patient9,432,432,864,0.5470085470085471,0.48717948717948717,0.5641025641025641
patient10,432,432,864,0.811965811965812,0.5213675213675214,0.8205128205128205
patient11,432,432,864,0.8632478632478633,0.49572649572649574,0.8717948717948718
patient12,432,432,864,0.6581196581196581,0.5042735042735043,0.6666666666666666
patient13,432,432,864,0.5213675213675214,0.49572649572649574,0.5384615384615384
patient14,432,432,864,0.6239316239316239,0.37606837606837606,0.5470085470085471
patient15,432,432,864,0.8290598290598291,0.6410256410256411,0.9401709401709402
patient16,432,432,864,0.8034188034188035,0.6153846153846154,0.7264957264957265
patient17,432,432,864,0.8034188034188035,0.6666666666666666,0.7094017094017094
patient18,432,432,864,0.47863247863247865,0.3333333333333333,0.42735042735042733
patient19,423,423,846,0.7521367521367521,0.6581196581196581,0.8290598290598291
patient20,432,432,864,0.4188034188034188,0.5811965811965812,0.4700854700854701
patient21,432,432,864,0.7606837606837606,0.7435897435897436,0.8632478632478633
patient22,432,432,864,0.8376068376068376,0.6666666666666666,0.7350427350427351
patient23,432,432,864,0.8717948717948718,0.6324786324786325,0.8717948717948718
patient24,432,432,864,0.358974358974359,0.3504273504273504,0.4700854700854701
patient25,432,432,864,0.7435897435897436,0.5042735042735043,0.7948717948717948
patient26,432,432,864,0.452991452991453,0.452991452991453,0.42735042735042733
patient27,432,432,864,0.8376068376068376,0.7094017094017094,0.8376068376068376
patient28,432,432,864,0.23931623931623933,0.452991452991453,0.5128205128205128
patient29,432,432,864,0.7008547008547008,0.5897435897435898,0.7777777777777778
patient30,432,432,864,0.7863247863247863,0.6666666666666666,0.6837606837606838
patient31,432,432,864,0.5470085470085471,0.7435897435897436,0.8290598290598291
patient32,432,432,864,0.8632478632478633,0.3076923076923077,0.6666666666666666
patient33,432,432,864,0.7863247863247863,0.6324786324786325,0.8034188034188035
patient34,432,432,864,0.6923076923076923,0.6495726495726496,0.6752136752136753
patient35,432,432,864,0.5042735042735043,0.5555555555555556,0.5470085470085471
patient36,432,432,864,0.7350427350427351,0.3333333333333333,0.7606837606837606
patient37,432,432,864,0.8888888888888888,0.6666666666666666,0.7863247863247863
patient38,432,432,864,0.6837606837606838,0.6495726495726496,0.6410256410256411
patient39,432,432,864,0.5641025641025641,0.7606837606837606,0.5555555555555556
patient40,432,432,864,0.5128205128205128,0.3333333333333333,0.4700854700854701
patient41,432,432,864,0.5042735042735043,0.41025641025641024,0.4188034188034188
patient42,432,432,864,0.7606837606837606,0.6324786324786325,0.811965811965812
patient43,432,432,864,0.2564102564102564,0.3333333333333333,0.1623931623931624
patient44,432,432,864,0.905982905982906,0.6666666666666666,0.9145299145299145
patient45,432,432,864,0.717948717948718,0.38461538461538464,0.7008547008547008
patient46,432,432,864,0.8803418803418803,0.6666666666666666,0.8974358974358975
patient47,432,432,864,0.8290598290598291,0.5384615384615384,0.8547008547008547
patient48,432,432,864,0.5213675213675214,0.3333333333333333,0.4444444444444444
