flexor_picks,flexor_d_values,extensor_picks,extensor_d_values,patient,selection_source,chosen_channels
"[1, 7]","[2.8113901174633993, 2.8089185640052703]","[53, 54]","[-0.7817098638395338, -0.5527466278976685]",patient1,01.parquet,"[1, 53, 7, 54]"
"[27, 28]","[3.8096814190715684, 3.5579335265448666]","[35, 43]","[0.08468728071223387, 0.16998937121402885]",patient2,01.parquet,"[27, 35, 28, 43]"
"[21, 58]","[3.9514119602026825, 3.9312570216671565]","[50, 34]","[-0.09554166254231293, 0.8670182487907772]",patient3,01.parquet,"[21, 50, 58, 34]"
"[19, 18]","[3.2112024902983496, 3.1949244829538745]","[54, 39]","[-3.0031041420110687, -2.8213837950312954]",patient4,01.parquet,"[19, 54, 18, 39]"
"[4, 51]","[4.737962814912207, 4.5541450490318836]","[55, 54]","[-0.14682321809369897, 0.2748188165815056]",patient5,01.parquet,"[4, 55, 51, 54]"
"[10, 26]","[-0.46446633192480385, -0.8252637450040871]","[54, 55]","[-4.0261642697446955, -3.99778182718405]",patient6,01.parquet,"[10, 54, 26, 55]"
"[31, 16]","[4.395126492109079, 3.9996938421167]","[61, 50]","[-1.5278768621617504, -1.4600724588453102]",patient7,01.parquet,"[31, 61, 16, 50]"
"[45, 55]","[5.448494174182927, 5.067649752969544]","[30, 64]","[-0.4957936614619038, -0.18652409043917084]",patient8,01.parquet,"[45, 30, 55, 64]"
"[20, 15]","[3.4354105566272124, 2.6565073821005663]","[50, 34]","[-1.4181593088938689, -1.3435249219630157]",patient9,01.parquet,"[20, 50, 15, 34]"
"[64, 42]","[3.5462453530795663, 2.729229055731517]","[17, 33]","[-0.5871222925084364, -0.3921177856369498]",patient10,01.parquet,"[64, 17, 42, 33]"
"[28, 33]","[5.556653333182289, 5.3908280960240385]","[30, 62]","[3.030857980952512, 3.1240016916739055]",patient11,01.parquet,"[28, 30, 33, 62]"
"[33, 34]","[3.6869881475575186, 3.535562894774252]","[61, 62]","[-1.0558894300641317, -0.9333243809945986]",patient12,01.parquet,"[33, 61, 34, 62]"
"[41, 42]","[3.3370938029147887, 2.6296091475720615]","[64, 48]","[-2.5052747411449428, -2.500485745727275]",patient13,01.parquet,"[41, 64, 42, 48]"
"[16, 62]","[4.46175318019061, 4.4143504130006495]","[47, 32]","[-0.6918055059785102, -0.5902524729494698]",patient14,01.parquet,"[16, 47, 62, 32]"
"[3, 2]","[4.599948406446807, 4.443241219969245]","[63, 64]","[-0.08205021423993787, 0.5022944402021702]",patient15,01.parquet,"[3, 63, 2, 64]"
"[36, 20]","[5.080888612380221, 5.061997766713956]","[64, 10]","[-20.40217998880522, -0.5176213445680693]",patient16,01.parquet,"[36, 64, 20, 10]"
"[3, 19]","[4.208625677217287, 4.091334806987025]","[64, 48]","[-0.564278335781874, -0.46676974202249544]",patient17,01.parquet,"[3, 64, 19, 48]"
"[1, 17]","[4.068401216737881, 3.9155597928942654]","[46, 62]","[-1.9681867327460734, -1.7207819614613271]",patient18,01.parquet,"[1, 46, 17, 62]"
"[60, 59]","[5.5565816534902295, 5.490930852001152]","[63, 62]","[3.241068243863074, 3.2579696393395077]",patient19,01.parquet,"[60, 63, 59, 62]"
"[19, 35]","[4.8735969220079784, 4.61999360635745]","[50, 18]","[-0.0713209159844323, 0.1935934602849901]",patient20,01.parquet,"[19, 50, 35, 18]"
"[45, 29]","[3.40465386022949, 3.1789704378700803]","[2, 31]","[-0.45413620591855813, -0.00915502956426456]",patient21,01.parquet,"[45, 2, 29, 31]"
"[19, 22]","[3.4248403345467997, 3.4097570015228897]","[48, 64]","[-0.7342215451151963, -0.149903986071075]",patient22,01.parquet,"[19, 48, 22, 64]"
"[32, 16]","[6.187667439011575, 6.186223040941955]","[52, 17]","[0.7473925864416928, 1.568943113761718]",patient23,01.parquet,"[32, 52, 16, 17]"
"[14, 4]","[4.2567155487156825, 3.8560728551028114]","[63, 64]","[0.3705462241723349, 0.7545954956523075]",patient24,01.parquet,"[14, 63, 4, 64]"
"[14, 46]","[5.939757376706149, 5.891574097184809]","[2, 18]","[-0.2858242052514249, 1.1463234862356955]",patient25,01.parquet,"[14, 2, 46, 18]"
"[18, 3]","[4.586849647991825, 4.493815905419679]","[48, 64]","[0.4382348309957785, 0.9969268184470769]",patient26,01.parquet,"[18, 48, 3, 64]"
"[14, 36]","[5.309035006658417, 5.242236533260646]","[30, 8]","[3.210795769752644, 3.6021399525017275]",patient27,01.parquet,"[14, 30, 36, 8]"
"[51, 29]","[2.3200044413484346, 1.9996424702727786]","[48, 50]","[-0.4835233468997833, -0.30152829271550735]",patient28,01.parquet,"[51, 48, 29, 50]"
"[40, 57]","[4.425782096766317, 4.381697109869858]","[64, 63]","[1.9302241035186687, 2.227647778924622]",patient29,01.parquet,"[40, 64, 57, 63]"
"[46, 30]","[2.9668887758308484, 2.5079413587862787]","[50, 34]","[-3.584764167206646, -3.3590290586318776]",patient30,01.parquet,"[46, 50, 30, 34]"
"[56, 10]","[7.598881085855518, 5.065296175036876]","[57, 11]","[0.5306569798698596, 1.0886705893305075]",patient31,01.parquet,"[56, 57, 10, 11]"
"[54, 53]","[2.747216249202655, 2.7093034539685386]","[56, 61]","[-0.48956294465715533, -0.1873681964565914]",patient32,01.parquet,"[54, 56, 53, 61]"
